,e2e_delta
2138,865952885
2139,784041178
2140,816398232
2141,834506755
2142,815274267
2143,884843529
2144,852576312
2145,869779732
2146,796638332
2147,831069707
2148,847713491
2149,868442688
2150,824010796
2151,859183887
2152,819835585
2153,814905065
2154,802986479
2155,813018758
2156,813648025
2157,838759562
2158,837487998
2159,813288954
2160,845521213
2161,806982546
2162,858757601
2163,887118612
2164,847510364
2165,821275385
2166,799041653
2167,778681772
2168,867381634
2169,854006904
2170,861099967
2171,850649974
2172,817946355
2173,917713287
2174,831506023
2175,801744226
2176,808073801
2177,823356595
2178,817160348
2179,814827950
2180,804410511
2181,795934370
2182,820507832
2183,783581043
2184,800598783
2185,831792604
2186,849397999
2187,851366796
2188,850709450
2189,862880685
2190,865663178
2191,817854212
2192,833691382
2193,815690720
2194,749762608
2195,784058716
2196,840473653
2197,849833589
2198,864075810
2199,862030861
2200,888758017
2201,877107870
2202,834877130
2203,865616521
2204,816932143
2205,851332728
2206,769171824
2207,900297460
2208,761164536
2209,855074534
2210,848163653
2211,848320889
2212,788214026
2213,837911677
2214,922664913
2215,918813142
2216,886934372
2217,796542856
2218,831955522
2219,865295169
2220,850496224
2221,879317126
2222,789333630
2223,935838096
2224,906965990
2225,838267264
2226,857736352
2227,943202657
2228,916500496
2229,853902858
2230,849531193
2231,849026190
2232,802869835
2233,844257389
2234,834754741
2235,866387148
2236,866443812
2237,832645098
2238,815774178
2239,852311631
2240,818138701
2241,846292831
2242,825696916
2243,877836016
2244,850755316
2245,848892659
2246,880584389
2247,849149737
2248,884281200
2249,896160870
2250,840459686
2251,835283283
2252,850563574
2253,844391756
2254,883932276
2255,831066871
2256,857711731
2257,835122432
2258,842201640
2259,834762428
2260,784615249
2261,850587558
2262,849725942
2263,849470887
2264,830372680
2265,821570136
2266,884029636
2267,814547380
2268,847708792
2269,849600349
2270,847895245
2271,839257440
2272,844707743
2273,853523458
2274,813258039
2275,806993045
2276,842661953
2277,816496569
2278,838712630
2279,793842011
2280,887257977
2281,862845090
2282,849443698
2283,835925016
2284,818357225
2285,781619564
2286,864777834
2287,837910576
2288,868876728
2289,878283588
2290,866654955
2291,847893155
2292,784077199
2293,884222579
2294,868754837
2295,814982669
2296,817520579
2297,847238973
2298,766088720
2299,876255646
2300,890632758
2301,843683863
2302,793008619
2303,876359958
2304,795637778
2305,846957598
2306,829287569
2307,816888417
2308,835023493
2309,816060340
2310,820242676
2311,804632384
2312,822141887
2313,868390046
2314,820626936
2315,794833117
2316,816113656
2317,914688822
2318,852145108
2319,867427375
2320,834094713
2321,836562259
2322,868872834
2323,842406100
2324,885401294
2325,831234965
2326,836864173
2327,762698135
2328,886580917
2329,1152800307
2330,847312948
2331,136093702
2332,895628133
2333,151156908
2334,897651772
2335,157865543
2336,828229010
2337,149951544
2338,832115823
2339,163529387
2340,901463372
2341,148096858
2342,820041825
2343,128399232
2344,875901321
2345,136973645
2346,828750557
2347,137385936
2348,807251316
2349,178895194
2350,889036552
2351,130998496
2352,870366004
2353,303778803
2354,881527442
2355,148818103
2356,865860068
2357,671253283
2358,893031323
2359,123060538
2360,881127745
2361,602023854
2362,849795028
2363,832395730
2364,818333146
2365,882031377
2366,861237917
2367,851011785
2368,816421733
2369,900202431
2370,850674746
2371,831310295
2372,866244040
2373,819321247
2374,932332158
2375,881965413
2376,850083951
2377,905568756
2378,802613971
2379,891916064
2380,852182740
2381,867241359
2382,848178158
2383,852892680
2384,813825240
2385,819664395
2386,881497886
2387,869473685
2388,894262079
2389,871302426
2390,815348192
2391,842997156
2392,922007232
2393,867912631
2394,867091328
2395,822134733
2396,828597115
2397,848976819
2398,787694159
2399,862758302
2400,882820923
2401,881428474
2402,905321868
2403,828363194
2404,832915788
2405,816811594
2406,782095609
2407,809412488
2408,814455914
2409,826022143
2410,850653921
2411,782182369
2412,819576939
2413,890357546
2414,946492863
2415,861113579
2416,819267763
2417,831686646
2418,815877192
2419,821095463
2420,882667854
2421,845138490
2422,818557543
2423,837944018
2424,896937403
2425,863164960
2426,848360608
2427,858337828
2428,844135662
2429,836406716
2430,831821670
2431,530733446
2432,854710376
2433,152845201
2434,859929062
2435,146275472
2436,889713278
2437,145241619
2438,838952375
2439,171419281
2440,858341869
2441,125078633
2442,845519390
2443,142129853
2444,872227517
2445,139321263
2446,964859953
2447,149143954
2448,868826788
2449,982681166
2450,955295639
2451,921455957
2452,833900538
2453,921323817
2454,850383681
2455,944830489
2456,865395838
2457,833057508
2458,895656248
2459,891114690
2460,815410189
2461,833125677
2462,834918067
2463,819949082
2464,809747848
2465,853334277
2466,850122302
2467,830468429
2468,838086747
2469,849913025
2470,811457417
2471,799882853
2472,803397479
2473,835154919
2474,831502633
2475,873865678
2476,826562950
2477,816793435
2478,848694364
2479,913572574
2480,869769163
2481,872334208
2482,866528072
2483,811534839
2484,814903476
2485,818137635
2486,852160746
2487,817155394
2488,827836778
2489,850477671
2490,861868584
2491,874343559
2492,813382266
2493,849885008
2494,833529359
2495,823909167
2496,870469649
2497,838835489
2498,818744640
2499,884941596
2500,796449158
2501,800428680
2502,1257670667
2503,824914670
2504,850253057
2505,883320908
2506,867236926
2507,849931697
2508,799153616
2509,838472601
2510,794627579
2511,822150702
2512,788279307
2513,807178227
2514,817381539
2515,799018083
2516,832775984
2517,827941200
2518,821897252
2519,829297548
2520,803477701
2521,884251031
2522,882129157
2523,854305512
2524,868342930
2525,833829768
2526,835152732
2527,931585612
2528,535820402
2529,841591256
2530,870829581
2531,545375692
2532,801387008
2533,1561392321
2534,758195943
2535,556946289
2536,802918194
2537,830232774
2538,674804957
2539,815754206
2540,162569468
2541,804118914
2542,629153169
2543,795825126
2544,140860812
2545,818978983
2546,145705593
2547,753297135
2548,162662329
2549,838725294
2550,175095742
2551,837758940
2552,561366109
2553,888793678
2554,555406848
2555,893612832
2556,579681953
2557,880970458
2558,139146333
2559,767567456
2560,540149739
2561,913260908
2562,578645699
2563,849384575
2564,523383519
2565,846126610
2566,553033769
2567,849216341
2568,154258019
2569,826061282
2570,168646790
2571,798463160
2572,142970957
2573,758501312
2574,120135952
2575,780342463
2576,154035518
2577,843876133
2578,160575244
2579,830020639
2580,181562283
2581,833091151
2582,148735371
2583,863797805
2584,120866574
2585,783434009
2586,602221831
2587,795023671
2588,635206136
2589,832869528
2590,553658958
2591,914352637
2592,543378613
2593,851947971
2594,567689550
2595,813621538
2596,517473871
2597,834370554
2598,532997535
2599,918948864
2600,723603958
2601,858926695
2602,531804460
2603,819932243
2604,626539469
2605,869249168
2606,530678886
2607,834913924
2608,834212414
2609,654493363
2610,928630701
2611,821859883
2612,761328342
2613,834378082
2614,850614505
2615,783764071
2616,900635906
2617,997819760
2618,832964587
2619,882981302
2620,823040646
2621,860480617
2622,900243135
2623,847008403
2624,807641558
2625,852741147
2626,860373838
2627,815500755
2628,882543370
2629,782844520
2630,835312270
2631,890283818
2632,841407514
2633,888945796
2634,920417914
2635,842955839
2636,506434897
2637,842292556
2638,499223453
2639,931931788
2640,558258531
2641,791836098
2642,783490854
2643,801640657
2644,585935291
2645,847114983
2646,622700834
2647,810333810
2648,526641927
2649,828152050
2650,845701750
2651,848422784
2652,865022069
2653,788655463
2654,853660216
2655,810492913
2656,850500897
2657,852353912
2658,835309625
2659,1901074363
2660,813713834
2661,540410893
2662,921549635
2663,550491598
2664,802438542
2665,141237605
2666,805626189
2667,720522105
2668,884532730
2669,689416026
2670,822080678
2671,519901191
2672,833357682
2673,549268260
2674,937041564
2675,513820211
2676,814498553
2677,629911410
2678,823166603
2679,529263559
2680,834098243
2681,646876681
2682,827849504
2683,508966362
2684,835682558
2685,611793265
2686,771251918
2687,565583107
2688,872636219
2689,525525018
2690,804623193
2691,807260737
2692,787938904
2693,673913899
2694,878289428
2695,507815730
2696,820710128
2697,712722349
2698,823746264
2699,818105599
2700,856694989
2701,809421240
2702,832894050
2703,865523611
2704,868097562
2705,883116641
2706,894037759
2707,856716228
2708,858311432
2709,808261804
2710,859313978
2711,838428712
2712,817075322
2713,799475986
2714,842338751
2715,858758607
2716,782085865
2717,871620451
2718,797830723
2719,835077719
2720,795448798
2721,804191693
2722,821707069
2723,841103741
2724,815294268
2725,853331054
2726,799582270
2727,820692480
2728,843466073
2729,783983969
2730,532543299
2731,787847291
2732,497377338
2733,799243513
2734,850601517
2735,899872912
2736,716240577
2737,799956214
2738,783894948
2739,819167157
2740,661376117
2741,871632709
2742,630733530
2743,886241370
2744,537567651
2745,792853305
2746,614078409
2747,767864872
2748,819032198
2749,781025151
2750,833895547
2751,834870387
2752,781693062
2753,878250178
2754,859529284
2755,863515835
2756,855810591
2757,944627725
2758,900526681
2759,932608791
2760,834636104
2761,813421204
2762,889084202
2763,894163251
2764,832556416
2765,851074912
2766,799468210
2767,849914548
2768,856742916
2769,848431320
2770,845100858
2771,818323420
2772,815318426
2773,831880573
2774,852155054
2775,801902672
2776,931687310
2777,869044020
2778,525376506
2779,875778065
2780,624315435
2781,823342822
2782,583325271
2783,930906678
2784,621376116
2785,812852844
2786,584808806
2787,915369210
2788,552526017
2789,781515727
2790,563460729
2791,819917143
2792,524605613
2793,861255322
2794,517664899
2795,817343448
2796,573182317
2797,769637883
2798,510078560
2799,815905322
2800,544629309
2801,830504399
2802,520933167
2803,798985359
2804,882285104
2805,532765272
2806,884633586
2807,653248208
2808,845237325
2809,851599964
2810,831384491
2811,798770142
2812,816156349
2813,833035109
2814,802230443
2815,931394398
2816,834659528
2817,831775315
2818,820473050
2819,878037699
2820,842502004
2821,858573474
2822,911174698
2823,840228672
2824,902587893
2825,861999242
2826,853067752
2827,880467580
2828,800523347
2829,902022888
2830,817284449
2831,800268969
2832,847972132
2833,850463219
2834,849444313
2835,799108239
2836,926515788
2837,823247812
2838,783104056
2839,751079863
2840,749766688
2841,783236188
2842,766254666
2843,715556093
2844,751812773
2845,749508768
2846,766409714
2847,751023032
2848,798695569
2849,699532638
2850,736516608
2851,746636581
2852,770758083
2853,729974954
2854,732401405
2855,717478942
2856,751234794
2857,750132036
2858,765304654
2859,751681144
2860,749754795
2861,731983952
2862,750636093
2863,749980625
2864,732279105
2865,749953696
2866,749426717
2867,718078930
2868,752900873
2869,746722815
2870,772703061
2871,725898438
2872,732860191
2873,752651338
2874,715272733
2875,734328569
2876,749171240
2877,734249871
2878,732489874
2879,750038527
2880,715473144
2881,734109294
2882,818047727
2883,764798642
2884,700257919
2885,701721716
2886,764708224
2887,715466212
2888,717951361
2889,782472239
2890,449029436
2891,718151983
2892,666947268
2893,682885300
2894,410770938
2895,755234959
2896,169729101
2897,680974157
2898,118172564
2899,668215698
2900,122444897
2901,707981586
2902,126027857
2903,689674132
2904,121057557
2905,678644889
2906,133104141
2907,667348510
2908,509170943
2909,714640472
2910,692845944
2911,140570788
2912,742744096
2913,119993183
2914,762880710
2915,128581599
2916,688657514
2917,682686591
2918,683271901
2919,700445815
2920,683726118
2921,683144660
2922,683508772
2923,699471439
2924,683499605
2925,666744647
2926,701200704
2927,457087943
2928,724487414
2929,109192376
2930,724842724
2931,123389735
2932,743379134
2933,123572860
2934,709160731
2935,117797354
2936,715787432
2937,733075460
2938,683310067
2939,683370534
2940,699915075
2941,683226523
2942,667116876
2943,665876775
2944,700091269
2945,650369625
2946,632373681
2947,667137862
2948,699397935
2949,700974389
2950,906343440
2951,661261208
2952,649603112
2953,510189462
2954,722323600
2955,514237055
2956,703607345
2957,699328137
2958,559950372
2959,706557023
2960,700112299
2961,121597445
2962,710357480
2963,700377193
2964,700039902
2965,750401541
2966,718468967
2967,377253811
2968,657092979
2969,423203796
2970,657449905
2971,126259515
2972,673155228
2973,539622554
2974,678070369
2975,716675685
2976,126366702
2977,690683565
2978,137108809
2979,697013652
2980,680653329
2981,687342582
2982,696281204
2983,394390376
2984,705270815
2985,119569896
2986,698559529
2987,132199237
2988,695443860
2989,688115128
2990,732891468
2991,750304912
2992,133140069
2993,718765150
2994,133697306
2995,681369725
2996,116617611
2997,683375292
2998,123522801
2999,676619945
3000,122983688
3001,693447557
3002,151997986
3003,698374990
3004,114346002
3005,668724078
3006,539911499
3007,659269987
3008,493074485
3009,674735259
3010,512574433
3011,671236777
3012,735489837
3013,664406428
3014,509401628
3015,673912132
3016,521548417
3017,644058616
3018,505498824
3019,645806735
3020,496238274
3021,634849107
3022,634771607
3023,500329044
3024,616298842
3025,490535788
3026,659763518
3027,489322613
3028,629868700
3029,593792180
3030,636524879
3031,463027316
3032,619252215
3033,650157549
3034,490489639
3035,682332151
3036,488747351
3037,655509252
3038,482025128
3039,634753108
3040,497435660
3041,620215021
3042,521576636
3043,629746141
3044,469681825
3045,627279220
3046,653264097
3047,680066422
3048,634351283
3049,406448606
3050,678705694
3051,633716647
3052,509925153
3053,619869808
3054,489753279
3055,628142285
3056,558512313
3057,691177376
3058,665272133
3059,701159953
3060,716335901
3061,717442564
3062,800960257
3063,715969285
3064,749475757
3065,716979490
3066,716140064
3067,734835117
3068,749504088
3069,393101916
3070,689374404
3071,486275000
3072,697952610
3073,564833434
3074,657120947
3075,477309918
3076,638187247
3077,645863632
3078,666110140
3079,472256805
3080,643935511
3081,459202829
3082,622945150
3083,497345018
3084,622480306
3085,611983980
3086,651982726
3087,666030813
3088,667955494
3089,413972062
3090,669413145
3091,478338400
3092,670553507
3093,493409920
3094,656784011
3095,597660941
3096,636515210
3097,477659440
3098,637740676
3099,601569106
3100,565011704
3101,617494583
3102,571178510
3103,645868880
3104,140743110
3105,641930661
3106,136441767
3107,613778757
3108,617237601
3109,528798153
3110,620359259
3111,576481148
3112,606762732
3113,712519373
3114,637200877
3115,650565529
3116,726319594
3117,124478517
3118,681967890
3119,405328640
3120,645785852
3121,649073915
3122,135583955
3123,698320292
3124,117679420
3125,682793510
3126,133235055
3127,649567975
3128,117852961
3129,665269025
3130,117718742
3131,649586515
3132,378998136
3133,654544053
3134,535860365
3135,662268198
3136,667695474
3137,632118279
3138,652194942
3139,637608419
3140,677187165
3141,489591999
3142,611699791
3143,649398853
3144,700676214
3145,632609263
3146,652496657
3147,510603502
3148,641411217
3149,521007275
3150,648464738
3151,483428626
3152,641204237
3153,578109825
3154,624244231
3155,631976917
3156,617967423
3157,665979115
3158,617110030
3159,615209357
3160,668517075
3161,631885039
3162,397838493
3163,602191839
3164,421848583
3165,643963651
3166,668551707
3167,617031276
3168,756684329
3169,642434643
3170,700931877
3171,649994465
3172,664019425
3173,619328611
3174,615889660
3175,491973334
3176,623883180
3177,634148047
3178,763489514
3179,601808865
3180,654761374
3181,612016388
3182,616042730
3183,641330784
3184,395696618
3185,646727905
3186,650632216
3187,649015762
3188,667882793
3189,633185388
3190,666709618
3191,667169304
3192,870528950
3193,679407915
3194,649150498
3195,633460176
3196,648359718
3197,517952109
3198,634353609
3199,648952683
3200,1491067487
3201,659295206
3202,666685653
3203,471631297
3204,711610111
3205,394559271
3206,655817609
3207,716253326
3208,729381467
3209,702744664
3210,502961208
3211,664352635
3212,665990234
3213,150153125
3214,650128194
3215,114974836
3216,651786054
3217,118526650
3218,665509557
3219,142460646
3220,657619890
3221,540779069
3222,675570152
3223,448032660
3224,667852777
3225,498579237
3226,652245007
3227,667769598
3228,684842363
3229,663296224
3230,670382402
3231,399831229
3232,680293833
3233,392425416
3234,674689056
3235,377949362
3236,687411415
3237,667934646
3238,730863480
3239,667387355
3240,685851730
3241,411631559
3242,719153355
3243,505035672
3244,646581838
3245,482353130
3246,632272815
3247,635724628
3248,496067727
3249,652418799
3250,636845353
3251,664544076
3252,633807964
3253,546951801
3254,617767749
3255,125225170
3256,624273250
3257,668730573
3258,735802155
3259,681482672
3260,698240229
3261,377685659
3262,706953120
3263,384729701
3264,746861288
3265,428045413
3266,706415985
3267,699484962
3268,682770790
3269,783830089
3270,408661195
3271,726000979
3272,388474480
3273,710472636
3274,122977258
3275,710473469
3276,137089563
3277,729288416
3278,115530716
3279,701406410
3280,117172431
3281,715910849
3282,131446452
3283,701646304
3284,121537939
3285,694930072
3286,120254765
3287,679826729
3288,113330566
3289,720440833
3290,136188418
3291,713656998
3292,116129360
3293,734243918
3294,524157062
3295,707883054
3296,507824035
3297,643030372
3298,488818984
3299,627858643
3300,666979104
3301,631495142
3302,684654679
3303,648779520
3304,634497320
3305,411643263
3306,638370642
3307,424447132
3308,625684687
3309,616686900
3310,858389184
3311,658326416
3312,477348387
3313,621878863
3314,544234187
3315,639384906
3316,666217538
3317,650866383
3318,648815660
3319,651955963
3320,681247025
3321,667137742
3322,701226498
3323,665944515
3324,632630286
3325,651955335
3326,681247334
3327,635934911
3328,800444599
3329,640878646
3330,657734796
3331,648559144
3332,633294291
3333,616202829
3334,633271270
3335,666603831
3336,650975802
3337,360696941
3338,688365226
3339,427731177
3340,739710548
3341,417274280
3342,715117700
3343,116213939
3344,817869021
3345,116369356
3346,733255460
3347,129176819
3348,720075810
3349,410091174
3350,740842313
3351,448834552
3352,700878832
3353,667456531
3354,666540439
3355,749019005
3356,700068051
3357,740840487
3358,661598837
3359,680673209
3360,701227785
3361,632582304
3362,667306580
3363,650764960
3364,632736521
3365,665936166
3366,651590061
3367,731294988
3368,716795498
3369,699576588
3370,762139429
3371,638953063
3372,116737894
3373,649155066
3374,122838502
3375,644475494
3376,126773751
3377,675769831
3378,119736844
3379,628655852
3380,525642761
3381,656654416
3382,125039953
3383,657561496
3384,653371091
3385,612814177
3386,383776554
3387,615206409
3388,651116930
3389,617133694
3390,407092266
3391,610147724
3392,406841746
3393,660923671
3394,459179512
3395,638393371
3396,511676600
3397,672942020
3398,427747674
3399,657758835
3400,402084050
3401,679002002
3402,405741435
3403,676315290
3404,666730942
3405,700828552
3406,435918482
3407,697107000
3408,794208594
3409,689399156
3410,484552299
3411,684374222
3412,471721555
3413,692796646
3414,388689137
3415,679549807
3416,663067980
3417,684125940
3418,668089684
3419,397912599
3420,668498900
3421,397377288
3422,687419471
3423,663895840
3424,683652085
3425,685875776
3426,799224770
3427,687601915
3428,627323392
3429,393274381
3430,692405129
3431,647232917
3432,464786258
3433,635688209
3434,652830712
3435,629759476
3436,471624622
3437,679683237
3438,500450527
3439,664690207
3440,584943198
3441,732371417
3442,496758141
3443,677878240
3444,480069804
3445,662725887
3446,467690152
3447,682588485
3448,382495763
3449,683143118
3450,494596375
3451,671623777
3452,482941720
3453,701374940
3454,468699470
3455,713439695
3456,392150057
3457,680016563
3458,583286844
3459,745388976
3460,480215216
3461,693565845
3462,562518518
3463,663602233
3464,463013650
3465,670157839
3466,466164996
3467,649991334
3468,545596951
3469,672261009
3470,425751259
3471,688066951
3472,406247305
3473,695475315
3474,683603161
3475,616442420
3476,800130164
3477,633405963
3478,513186939
3479,669684555
3480,684559459
3481,666348939
3482,483090255
3483,666678989
3484,502508635
3485,680915926
3486,483151400
3487,684540341
3488,477271468
3489,707463815
3490,480730677
3491,720953932
3492,550128754
3493,678292077
3494,635183140
3495,698640454
3496,705616735
3497,502906443
3498,676703434
3499,664913468
3500,566105997
3501,666712369
3502,379393732
3503,654593705
3504,662825608
3505,703728456
3506,392269266
3507,672984171
3508,121916674
3509,712112181
3510,119623087
3511,713861342
3512,121809329
3513,710557913
3514,119139858
3515,732040662
3516,478840416
3517,720549914
3518,683402731
3519,683566064
3520,679340555
3521,388668649
3522,650076110
3523,383347154
3524,681598100
3525,717208724
3526,714760762
3527,685065641
3528,418551997
3529,664276846
3530,383328194
3531,700858770
3532,119308243
3533,680262008
3534,113456333
3535,685906625
3536,113492947
3537,753135177
3538,115855335
3539,807584808
3540,167654506
3541,725391144
3542,111797587
3543,738998655
3544,126610199
3545,756964070
3546,119628293
3547,713710030
3548,118860275
3549,698789397
3550,134618770
3551,730813052
3552,117530122
3553,732017787
3554,142001924
3555,707417703
3556,685852975
3557,129233264
3558,701706261
3559,557424083
3560,693799252
3561,381330853
3562,667428757
3563,125151297
3564,711304252
3565,422202919
3566,657900242
3567,132075547
3568,718169439
3569,131493882
3570,668139326
3571,129610085
3572,669270000
3573,123883384
3574,694280707
3575,117590329
3576,682041159
3577,121320162
3578,729101905
3579,121022038
3580,695536535
3581,116075021
3582,733991108
3583,114189974
3584,686418072
3585,127430821
3586,688863064
3587,118425952
3588,697245799
3589,114273098
3590,668623800
3591,118831054
3592,699272251
3593,514644204
3594,651359006
3595,469256733
3596,649785574
3597,484561948
3598,613382035
3599,665559536
3600,717185007
3601,651132651
3602,406792595
3603,692396850
3604,490452398
3605,676301064
3606,401516985
3607,647880003
3608,418924225
3609,648354376
3610,760120501
3611,656209560
3612,419138025
3613,663660371
3614,592997144
3615,673928778
3616,383462037
3617,686629833
3618,125332127
3619,704937226
3620,477405194
3621,676972256
3622,107221295
3623,671641126
3624,472088803
3625,677580066
3626,506707502
3627,658815070
3628,501836109
3629,665943121
3630,389447798
3631,661919747
3632,439148483
3633,693282934
3634,611747968
3635,653395813
3636,633899256
3637,474624054
3638,642119440
3639,487065839
3640,629810517
3641,491476450
3642,642213240
3643,492350042
3644,691757362
3645,547581490
3646,667281498
3647,633714098
3648,637749189
3649,662607292
3650,700493429
3651,669526177
3652,612812283
3653,684091810
3654,701663476
3655,664227494
3656,651494250
3657,666604621
3658,715064163
3659,666728214
3660,940861821
3661,696344844
3662,507000827
3663,689294083
3664,397003134
3665,669461069
3666,528378002
3667,687374608
3668,459614769
3669,657239698
3670,668551487
3671,614747169
3672,653348511
3673,663538689
3674,684659250
3675,464503711
3676,669670492
3677,479700697
3678,685789558
3679,396484852
3680,702994454
3681,121416615
3682,712064166
3683,649806644
3684,420511342
3685,678076038
3686,690265011
3687,711637447
3688,419356241
3689,663331133
3690,482313968
3691,650845441
3692,476346225
3693,656710214
3694,483758338
3695,666482841
3696,667400025
3697,665394302
3698,666506329
3699,475009665
3700,641151614
3701,385111134
3702,682126230
3703,463276732
3704,653916054
3705,481067980
3706,668570436
3707,380242814
3708,687470483
3709,648777474
3710,395128185
3711,690231568
3712,557592748
3713,673261515
3714,409526319
3715,690447139
3716,511090075
3717,640737080
3718,518880155
3719,650330175
3720,679117276
3721,477378301
3722,623083433
3723,648884189
3724,678113737
3725,655261825
3726,683929551
3727,700690595
3728,666703977
3729,684435330
3730,396615834
3731,701184499
3732,667924338
3733,665829657
3734,439708829
3735,659879258
3736,772080741
3737,644455032
3738,395123494
3739,656121351
3740,492409710
3741,673747964
3742,700464446
3743,696366801
3744,653322192
3745,587235828
3746,662644559
3747,499638593
3748,666921003
3749,563571472
3750,671032710
3751,488714146
3752,676405714
3753,483206037
3754,665878453
3755,478768082
3756,671975414
3757,464835208
3758,701547407
3759,388288615
3760,661925391
3761,682710692
3762,666456887
3763,684029646
3764,649322720
3765,650735267
3766,536785404
3767,596769962
3768,632910581
3769,649760790
3770,692479202
3771,589663837
3772,618116094
3773,615647663
3774,617303752
3775,616297609
3776,633917295
3777,633802607
3778,372675484
3779,626308828
3780,668000055
3781,733832407
3782,647856209
3783,684185109
3784,649565318
3785,633920730
3786,650032295
3787,649106361
3788,650126097
3789,669371403
3790,110417112
3791,654756499
3792,376082450
3793,674029721
3794,378153225
3795,654035459
3796,457219703
3797,677418877
3798,385378828
3799,680064129
3800,395413120
3801,704218691
3802,368923200
3803,714686679
3804,378943586
3805,671483529
3806,390033656
3807,660387208
3808,784768027
3809,664784747
3810,392147035
3811,658006589
3812,736741245
3813,631942293
3814,708348727
3815,507348349
3816,639606436
3817,496623851
3818,650091455
3819,678373661
3820,616667494
3821,684263225
3822,633052392
3823,613208598
3824,619795244
3825,616770566
3826,666237446
3827,635620717
3828,646825214
3829,618063166
3830,425703023
3831,607452364
3832,796644078
3833,653690712
3834,406968601
3835,642533506
3836,499738317
3837,605189297
3838,488645798
3839,623100491
3840,592059909
3841,608482932
3842,632926763
3843,524800999
3844,658857778
3845,616098585
3846,637364353
3847,612586720
3848,652250922
3849,664634946
3850,479072701
3851,604226172
3852,482328628
3853,637817371
3854,506675689
3855,639820802
3856,488883295
3857,610898129
3858,495261505
3859,621856273
3860,522058036
3861,611620836
3862,615791030
3863,520669499
3864,628695105
3865,499273575
3866,716743169
3867,464503993
3868,636842736
3869,608731571
3870,606799078
3871,684312902
3872,649210301
3873,617361545
3874,616259673
3875,615977329
3876,650229932
3877,649766236
3878,650908836
3879,666979255
3880,615752798
3881,633753211
3882,666724152
3883,683025195
3884,599559774
3885,667685971
3886,631815925
3887,602208931
3888,665821237
3889,615999463
3890,649685452
3891,651247530
3892,650002534
3893,632439828
3894,650854771
3895,699633058
3896,633384094
3897,632270191
3898,701700916
3899,633189459
3900,682786494
3901,632929929
3902,649542065
3903,700119305
3904,633128677
3905,616173833
3906,635438410
3907,651855702
3908,661996869
3909,683889354
3910,633062582
3911,667754923
3912,600182371
3913,632507063
3914,616900131
3915,601179398
3916,649332792
3917,633145757
3918,616101227
3919,601389762
3920,631312690
3921,607726148
3922,609086091
3923,633922733
3924,616177840
3925,633425079
3926,633169245
3927,619023716
3928,630826284
3929,616640702
3930,617744084
3931,616707212
3932,754047465
3933,629559932
3934,507475569
3935,624697082
3936,500613663
3937,615911797
3938,499900383
3939,602611525
3940,631715863
3941,580367218
3942,636117151
3943,488220472
3944,627168011
3945,559384782
3946,724817605
3947,633099554
3948,671042666
3949,530087738
3950,653172096
3951,494051286
3952,672698546
3953,515688614
3954,630757113
3955,504071879
3956,612327846
3957,666722991
3958,487750106
3959,681619506
3960,505143646
3961,643633999
3962,501710896
3963,628163473
3964,492799204
3965,658146401
3966,617152361
3967,599786477
3968,513320286
3969,671699639
3970,117075210
3971,616620956
3972,509366652
3973,623295622
3974,536955681
3975,644236442
3976,519908702
3977,732507106
3978,747269613
3979,683495226
3980,733118770
3981,700873245
3982,699658457
3983,701875116
3984,648264709
3985,685961675
3986,653763806
3987,660617535
3988,667161682
3989,683931108
3990,795598001
3991,644791958
3992,515236527
3993,694218940
3994,732695227
3995,716516579
3996,750437775
3997,664930176
3998,491678942
3999,708775977
4000,2013501093
4001,638701402
4002,648391632
4003,634192874
4004,383617819
4005,647529238
4006,669449535
4007,681049395
4008,700947666
4009,649025223
4010,717042668
4011,665420379
4012,734163916
4013,684204331
4014,666993395
4015,709602533
4016,385207552
4017,687839111
4018,682456106
4019,717140269
4020,682731887
4021,734375736
4022,715880325
4023,700112874
4024,699889697
4025,717560371
4026,715770637
4027,700920578
4028,716887872
4029,698516575
4030,724055089
4031,709394250
4032,683244278
4033,750074122
4034,683939484
4035,768604325
4036,730802150
4037,683548964
4038,749756570
4039,732970737
4040,717328702
4041,733131725
4042,733950368
4043,732267404
4044,733024954
4045,751001408
4046,757608522
4047,692388466
4048,666533233
4049,701140469
4050,731605218
4051,717902448
4052,680772615
4053,701421926
4054,737443168
4055,780692251
4056,731228967
4057,734645050
4058,751422185
4059,715556933
4060,699669273
4061,716822292
4062,699308180
4063,700322135
4064,700032553
4065,700518541
4066,715125005
4067,700217291
4068,733095574
4069,754832224
4070,761770431
4071,752760199
4072,730873809
4073,701044370
4074,698534482
4075,700655153
4076,699500677
4077,717442235
4078,698495420
4079,701641399
4080,732080262
4081,717251714
4082,699999789
4083,750110986
4084,698942552
4085,716824788
4086,717629837
4087,710618817
4088,722122583
4089,700736295
4090,698972238
4091,683466975
4092,733988066
4093,716989734
4094,698955363
4095,716860515
4096,717726085
4097,749263589
4098,699423745
4099,722422528
4100,717186919
4101,727279544
4102,684411032
4103,768089936
4104,747566875
4105,733544679
4106,749302286
4107,733296607
4108,683091139
4109,722930389
4110,726634960
4111,686271805
4112,698327132
4113,682938013
4114,749793428
4115,683456605
4116,766376553
4117,683867593
4118,733255563
4119,736462897
4120,715209213
4121,720722060
4122,711295579
4123,698715358
4124,767197487
4125,716880404
4126,700715299
4127,750190196
4128,782197907
4129,701403890
4130,799124416
4131,715877490
4132,732865093
4133,734024985
4134,716647799
4135,708226159
