,e2e_delta
531,733824305
532,716910060
533,715355432
534,717984380
535,717580268
536,732852699
537,733011293
538,402940558
539,696296565
540,516382490
541,683729540
542,125708437
543,774765689
544,534625586
545,732313904
546,573014266
547,709824790
548,512945582
549,736879928
550,502473496
551,680572270
552,571093445
553,711516140
554,512105172
555,688310049
556,700929003
557,124879328
558,757559371
559,123411471
560,693246852
561,118997376
562,730270591
563,498251540
564,735925775
565,122890067
566,727507794
567,488444347
568,712095521
569,714958529
570,716470918
571,721413866
572,712171461
573,717197532
574,716330714
575,717310086
576,699119439
577,683343053
578,700083083
579,818728796
580,681675771
581,111340434
582,705262332
583,556894930
584,742194406
585,553036355
586,697744191
587,111927567
588,688406786
589,715796299
590,110988457
591,723271943
592,681967442
593,131743520
594,735409754
595,192880223
596,740260671
597,143075084
598,707582798
599,115929425
600,716366875
601,119380868
602,680929899
603,109024561
604,723871113
605,497953798
606,719597643
607,489064620
608,760972927
609,681935211
610,684820981
611,583148417
612,716436412
613,524059206
614,709335039
615,497067401
616,753433905
617,716248031
618,488904469
619,727276367
620,540688873
621,726751892
622,525035142
623,724250446
624,565719232
625,701102895
626,508328969
627,708040573
628,531222929
629,753393444
630,544173029
631,756927492
632,614170008
633,716763090
634,545463754
635,721595986
636,511935780
637,721457811
638,489720724
639,709543334
640,494542943
641,706988138
642,501502027
643,731687248
644,542125180
645,707017412
646,497527567
647,701165824
648,483250028
649,684160902
650,529245605
651,704123887
652,603007671
653,697411886
654,494944613
655,738005092
656,489849377
657,727968367
658,501175473
659,713860723
660,473851585
661,735388961
662,724087553
663,498950902
664,718940494
665,732370279
666,489089228
667,727470666
668,756895380
669,518786129
670,708435857
671,733868558
672,715994783
673,715748639
674,699763190
675,497500548
676,719526124
677,700426522
678,749137764
679,767691485
680,536421992
681,696720082
682,482582701
683,717677283
684,733424505
685,699915071
686,716367238
687,549850321
688,733142842
689,699648043
690,495169992
691,705243384
692,699550493
693,501069133
694,716746408
695,501585018
696,713841630
697,490927722
698,727429123
699,515024439
700,750753135
701,733378109
702,648789422
703,733064726
704,717972241
705,749375645
706,522341441
707,711090451
708,108114314
709,709488948
710,113001428
711,686623165
712,108521604
713,723974041
714,733660666
715,522216236
716,710585405
717,716606472
718,752003869
719,733320618
720,731898021
721,698917907
722,717947511
723,698730409
724,734780615
725,733270519
726,717945586
727,732014692
728,700508060
729,717140540
730,715365027
731,717383301
732,699338954
733,716270859
734,734550362
735,716314558
736,1352042544
737,714949878
738,116312926
739,732676624
740,527993253
741,721231571
742,118043232
743,699858852
744,487206506
745,762634672
746,537063007
747,713160255
748,530000330
749,735530835
750,699743649
751,716666804
752,716852012
753,700147399
754,733294494
755,505535284
756,712371305
757,109890873
758,721621213
759,488173643
760,745498610
761,508027150
762,726289112
763,577794553
764,737784426
765,624853150
766,709189657
767,115243402
768,751745200
769,510858234
770,704549575
771,717746184
772,766772168
773,750591667
774,714869948
775,702056984
776,730593892
777,719025870
778,715529740
779,700294442
780,715446773
781,734053619
782,715780575
783,718052700
784,733857216
785,716246667
786,732826856
787,734440756
788,731872383
789,716648075
790,766474160
791,717618384
792,699374402
793,717465938
794,699372788
795,716442298
796,716372768
797,700239244
798,733388632
799,733256185
800,716910631
801,738492257
802,710718993
803,683712757
804,732941815
805,717444382
806,699765398
807,716014286
808,717144645
809,766523390
810,716503400
811,749462059
812,733018121
813,701997891
814,782500980
815,749883987
816,716253664
817,699972277
818,715879292
819,717140381
820,700442486
821,683946776
822,799307527
823,701581440
824,734986608
825,746255154
826,752257368
827,732183393
828,734086823
829,815106681
830,687484004
831,712286086
832,717597053
833,700473690
834,715877530
835,716185863
836,718292729
837,731745432
838,717046277
839,717798097
840,716624040
841,697896466
842,717023415
843,770759642
844,729749350
845,700556092
846,731643198
847,717552582
848,733187775
849,733823815
850,732630852
851,718633100
852,697965273
853,716877536
854,699114957
855,734221108
856,698828240
857,686626887
858,731111383
859,1086304595
860,699209960
861,731442165
862,684625805
863,752800407
864,768074978
865,727510518
866,539677367
867,693121708
868,507636047
869,725705683
870,477154304
871,722714708
872,503864814
873,730632070
874,715852967
875,716534110
876,698976478
877,718279677
878,638555020
879,711552988
880,519519438
881,729162757
882,565400700
883,722600339
884,516964189
885,728133649
886,716997030
887,531171629
888,719079627
889,127881692
890,738686366
891,123924990
892,708883005
893,495651732
894,704413441
895,733482589
896,734651906
897,699494349
898,734206649
899,732096450
900,716257664
901,733584727
902,735699093
903,698486805
904,683300620
905,716204125
906,715150380
907,700316850
908,392920769
909,691049651
910,509738395
911,723685867
912,642122414
913,724308677
914,683940570
915,716025901
916,750903930
917,732530207
918,648583274
919,719279379
920,130072413
921,734819366
922,734410045
923,520982726
924,761118577
925,407208212
926,709414423
927,490619576
928,709922287
929,832563067
930,717427256
931,731372509
932,516619049
933,701836178
934,523244022
935,710231612
936,502858796
937,714193574
938,510351317
939,739085709
940,700304260
941,515154944
942,700322854
943,750453631
944,716823723
945,699757702
946,733659225
947,769383500
948,714151965
949,734493598
950,782902299
951,698298232
952,717306433
953,734265632
954,716264407
955,734199644
956,751760091
957,713827023
958,733567564
959,732112780
960,750902544
961,752245351
962,713639735
963,715969829
964,684287620
965,699666722
966,776224054
967,691583111
968,261542746
969,739214264
970,119745847
971,711006675
972,110041617
973,725245627
974,496043472
975,719303569
976,114064777
977,769716950
978,516383335
979,716663685
980,510303205
981,722878608
982,507507436
983,708153671
984,494404784
985,706152430
986,492391876
987,692024574
988,491020632
989,708731431
990,121769954
991,710987880
992,121738236
993,728438693
994,503218186
995,697104294
996,504245423
997,711660849
998,494462703
999,722091951
1000,497113370
1001,719853159
1002,595887016
1003,703721718
1004,115965500
1005,717701450
1006,121459383
1007,695584774
1008,136965777
1009,694944777
1010,733784249
1011,718141034
1012,682098321
1013,699426895
1014,700566370
1015,733540814
1016,715610057
1017,717393748
1018,717205468
1019,733130297
1020,717537134
1021,732341551
1022,733957170
1023,732615874
1024,683894882
1025,719239420
1026,749532940
1027,731693692
1028,682453900
1029,716727245
1030,816196723
1031,750302470
1032,732846762
1033,767680262
1034,716356312
1035,734735506
1036,715142464
1037,734003999
1038,717257612
1039,732380778
1040,715495901
1041,701948354
1042,715663297
1043,699480136
1044,699639667
1045,733544837
1046,717395635
1047,733258902
1048,682980208
1049,717501053
1050,738599037
1051,726814399
1052,717259232
1053,716068717
1054,699795244
1055,717120744
1056,700993729
1057,698794259
1058,703196689
1059,714158987
1060,699501132
1061,750962531
1062,732401777
1063,733328128
1064,733368127
1065,734580935
1066,732474174
1067,705033612
1068,711383534
1069,700736807
1070,698551036
1071,701341077
1072,747853174
1073,718225434
1074,732123345
1075,735947444
1076,732732301
1077,715036074
1078,699785721
1079,683737508
1080,716624141
1081,716003936
1082,700003430
1083,717547264
1084,700535564
1085,732717305
1086,682304755
1087,700634054
1088,700566399
1089,734858808
1090,730475650
1091,716871019
1092,733993865
1093,717541434
1094,715673473
1095,717190082
1096,716761543
1097,716215712
1098,733541318
1099,732967153
1100,700148019
1101,699731251
1102,717573833
1103,716240610
1104,765552175
1105,751019893
1106,699332504
1107,717523887
1108,732118618
1109,751606819
1110,698596051
1111,422568815
1112,711172926
1113,113515674
1114,702586035
1115,827761504
1116,706094615
1117,487967971
1118,745420910
1119,498627770
1120,685176421
1121,499381674
1122,735194027
1123,529995974
1124,717948526
1125,653697908
1126,718302693
1127,487569589
1128,741003641
1129,527812235
1130,722052418
1131,1528780109
1132,705829674
1133,513454587
1134,716814993
1135,509093512
1136,724826367
1137,529398844
1138,721918254
1139,493071288
1140,690236720
1141,715692239
1142,548438402
1143,718337021
1144,682913209
1145,733682010
1146,683026387
1147,751299282
1148,698668354
1149,733618627
1150,699547309
1151,700281213
1152,700057881
1153,699414030
1154,833684620
1155,715876566
1156,493620352
1157,723850701
1158,492282129
1159,724604761
1160,501689225
1161,715010270
1162,503776301
1163,729627242
1164,519380455
1165,730116563
1166,733567121
1167,717626042
1168,480188482
1169,718614372
1170,733357853
1171,732390566
1172,736160550
1173,512955692
1174,736472425
1175,475817148
1176,740184650
1177,716075115
1178,734125196
1179,495194048
1180,738275857
1181,766748917
1182,748664408
1183,707799890
1184,725822316
1185,732603642
1186,716888760
1187,683469263
1188,716369908
1189,733831191
1190,733309631
1191,717578134
1192,732447187
1193,717736936
1194,790551583
1195,726664295
1196,715375592
1197,733057187
1198,716638400
1199,732812969
1200,720890571
1201,746970828
1202,734510203
1203,714802576
1204,683704892
1205,732945210
1206,699681390
1207,716870330
1208,699264621
1209,717561578
1210,716357572
1211,766617574
1212,735157600
1213,731472719
1214,717032310
1215,733105421
1216,733136724
1217,716081117
1218,700022433
1219,734013804
1220,733237297
1221,750247124
1222,682030790
1223,734574376
1224,699738270
1225,733366673
1226,715877735
1227,700420039
1228,717539500
1229,716663045
1230,715901278
1231,700131291
1232,716517630
1233,704996220
1234,728407790
1235,734524902
1236,731669548
1237,700003273
1238,748030472
1239,702097171
1240,499402639
1241,701019363
1242,117351862
1243,715701804
1244,487508209
1245,728791542
1246,536642956
1247,712494578
1248,499425192
1249,735430630
1250,489152994
1251,712121612
1252,122105073
1253,726770927
1254,717049405
1255,715696963
1256,545845628
1257,704590655
1258,482860313
1259,748860110
1260,469688181
1261,764790305
1262,113667555
1263,735243812
1264,123840847
1265,677324050
1266,505406316
1267,747109650
1268,496795935
1269,750037659
1270,512191966
1271,722055483
1272,699107816
1273,701837025
1274,504297156
1275,760635222
1276,719223776
1277,746278406
1278,735965167
1279,748597251
1280,700243595
1281,715224523
1282,705421803
1283,729060613
1284,700696146
1285,699455371
1286,733359139
1287,768041393
1288,732019874
1289,699884953
1290,766735983
1291,751463858
1292,715145413
1293,716507439
1294,735432622
1295,731023943
1296,683591480
1297,699333656
1298,717344468
1299,715137342
1300,701275472
1301,698664180
1302,718931911
1303,715417654
1304,700547455
1305,731991077
1306,734404036
1307,698487100
1308,702669010
1309,731011968
1310,717945406
1311,725575063
1312,723620071
1313,507583139
1314,730085306
1315,729273331
1316,491106645
1317,711768089
1318,713350375
1319,701576882
1320,503497116
1321,711110906
1322,702267505
1323,648295485
1324,716451770
1325,601474634
1326,700102932
1327,563438852
1328,751544857
1329,717111508
1330,718857648
1331,558587102
1332,740005478
1333,526213536
1334,722966538
1335,569379351
1336,715315476
1337,478151128
1338,736706171
1339,706216243
1340,711401378
1341,565998219
1342,716912763
1343,700463350
1344,527205514
1345,721577588
1346,718996714
1347,698147215
1348,717342554
1349,715768499
1350,767795371
1351,699276222
1352,733362490
1353,699346378
1354,719113799
1355,731981195
1356,682665718
1357,699509087
1358,718400365
1359,732255726
1360,734126655
1361,748306182
1362,770813383
1363,762880550
1364,717715317
1365,733659784
1366,748875504
1367,717707662
1368,751260026
1369,748234570
1370,735553163
1371,765030232
1372,766207936
1373,715204132
1374,784201509
1375,766075958
1376,752105546
1377,797334790
1378,734310150
1379,750441856
1380,734324578
1381,748810769
1382,734054423
1383,764957527
1384,717411365
1385,733325260
1386,734475776
1387,748488324
1388,733557656
1389,682656716
1390,751373678
1391,731635945
1392,685162019
1393,732919170
1394,766155390
1395,732824848
1396,750968682
1397,698218530
1398,735437650
1399,765263103
1400,734826091
1401,714946484
1402,751295035
1403,682522658
1404,718994385
1405,697177025
1406,718293034
1407,731696106
1408,701730862
1409,698114002
1410,734726354
1411,715799505
1412,767977991
1413,731568035
1414,751231237
1415,749239891
1416,718880900
1417,730634029
1418,751596914
1419,714215919
1420,735706041
1421,683168545
1422,682401934
1423,749221769
1424,735156096
1425,764934362
1426,700528945
1427,732490170
1428,733980633
1429,732850586
1430,770037571
1431,746798030
1432,719141215
1433,748489117
1434,766600816
1435,799396621
1436,717032266
1437,715434773
1438,751835459
1439,732352933
1440,700970457
1441,715058994
1442,717363829
1443,752808790
1444,731052367
1445,716130449
1446,709610996
1447,757004451
1448,716606646
1449,731727522
1450,718856741
1451,749357504
1452,699822756
1453,748785580
1454,717239613
1455,749886930
1456,701091606
1457,698665991
1458,767808369
1459,749432141
1460,800072667
1461,782528154
1462,740646969
1463,747331265
1464,729423472
1465,732794709
1466,717435084
1467,683631262
1468,733791841
1469,681223876
1470,718497736
1471,717546804
1472,732870805
1473,748404857
1474,734450382
1475,748795793
1476,734227936
1477,699635158
1478,682897361
1479,699839533
1480,717008213
1481,716383425
1482,699885730
1483,716914360
1484,701129529
1485,681910491
1486,734885696
1487,731904457
1488,700595000
1489,749168295
1490,751166673
1491,1460903825
1492,742938373
1493,129824427
1494,698720374
1495,139767721
1496,710194860
1497,110033257
1498,705882742
1499,111501792
1500,756442799
1501,491579955
1502,723431370
1503,526107161
1504,708726325
1505,524217325
1506,743354727
1507,496752227
1508,754723224
1509,504604852
1510,725774695
1511,491486103
1512,724777095
1513,519576407
1514,714186773
1515,123197111
1516,726247038
1517,114054022
1518,735676636
1519,127871519
1520,722905020
1521,127346000
1522,706310868
1523,628981126
1524,720788727
1525,560543536
1526,723451999
1527,504374855
1528,727251255
1529,502735643
1530,697127782
1531,115565943
1532,719405609
1533,132793166
1534,699972771
1535,700700529
1536,732905035
1537,715576563
1538,684913769
1539,732148216
1540,716205259
1541,700351573
1542,735211121
1543,748024560
1544,716401196
1545,733470972
1546,734918311
1547,717512078
1548,730990254
1549,699935483
1550,734051544
1551,733688004
1552,848874419
1553,700278503
1554,716757656
1555,750318668
1556,715879065
1557,732849103
1558,685257939
1559,714835789
1560,720278216
1561,695935761
1562,717351509
1563,716291514
1564,734304931
1565,699549654
1566,700646472
1567,732510199
1568,699669445
1569,766077566
1570,717349635
1571,700033195
1572,717353698
1573,681759882
1574,734397172
1575,721255611
1576,761862324
1577,699996061
1578,699230126
1579,751043722
1580,749391177
1581,732383901
1582,751618356
1583,765910330
1584,769640888
1585,800281079
1586,679461613
1587,699937885
1588,750031019
1589,767335377
1590,733301451
1591,715772355
1592,751055755
1593,700025959
1594,734518530
1595,731186773
1596,734001189
1597,713300335
1598,756396152
1599,730293235
1600,716465166
1601,737214562
1602,746690827
1603,750434146
1604,766208563
1605,732716821
1606,817552265
1607,717224488
1608,769472405
1609,744807295
1610,734220827
1611,418565260
1612,780954964
1613,118571039
1614,698283522
1615,490311954
1616,726974398
1617,749646912
1618,700047475
1619,731673182
1620,725167478
1621,725876851
1622,700116486
1623,733368124
1624,717281001
1625,731847140
1626,751745551
1627,681618539
1628,735016972
1629,734433172
1630,747794578
1631,740085963
1632,743093348
1633,732548494
1634,683226451
1635,738167899
1636,762099939
1637,700797423
1638,750110039
1639,734055676
1640,776687277
1641,854776291
1642,734823903
1643,733439689
1644,749799000
1645,768517884
1646,749364940
1647,765182377
1648,750351186
1649,716455227
1650,714998827
1651,719747141
1652,715107212
1653,930607711
1654,936544615
1655,141787145
1656,779349406
1657,145852859
1658,880915826
1659,130384587
1660,838756410
1661,165570697
1662,765298056
1663,130689638
1664,836870012
1665,140389964
1666,875658660
1667,174992900
1668,844212067
1669,138630127
1670,793708257
1671,169919326
1672,812559172
1673,141104284
1674,891172662
1675,238057129
1676,847554138
1677,514715875
1678,834591951
1679,120627230
1680,895761135
1681,136328939
1682,845187638
1683,137381642
1684,764026710
1685,144488281
1686,872360447
1687,564948125
1688,821705388
1689,138119504
1690,823658349
1691,557704924
1692,774824169
1693,162812949
1694,771504755
1695,507696738
1696,794266279
1697,518344196
1698,764282700
1699,661667013
1700,838820218
1701,153915640
1702,831920455
1703,643698179
1704,818394883
1705,543372639
1706,759670950
1707,525431252
1708,853657348
1709,550674850
1710,886737634
1711,175110765
1712,839739383
1713,148376444
1714,810642520
1715,142450217
1716,882711922
1717,156781255
1718,845833735
1719,160984206
1720,873442949
1721,137979350
1722,807901594
1723,133792178
1724,801837764
1725,118932707
1726,795877268
1727,156896932
1728,844434314
1729,797391793
1730,853652873
1731,848494403
1732,847922583
1733,833380505
1734,813366783
1735,870098382
1736,800938083
1737,822324977
1738,809654195
1739,819065511
1740,796987630
1741,895861718
1742,871161556
1743,821187379
1744,812193404
1745,871140984
1746,868970785
1747,814002877
1748,880945164
1749,847702952
1750,867231573
1751,852441424
1752,831443173
1753,814306002
1754,839032988
1755,881728445
1756,795874201
1757,802724121
1758,833539573
1759,899246970
1760,800392621
1761,833498532
1762,847927902
1763,823038470
1764,842642871
1765,804063128
1766,796134514
1767,800534861
1768,804317242
1769,829056519
1770,885044007
1771,902969041
1772,828562824
1773,817349483
1774,885946348
1775,840389236
1776,856162456
1777,849402795
1778,837203834
1779,815524700
1780,879400803
1781,920589547
1782,865579035
1783,864493727
1784,832832706
1785,849709619
1786,818885470
1787,866606688
1788,853967883
1789,880719393
1790,833324841
1791,797721127
1792,865993462
1793,866155597
1794,883373707
1795,832950780
1796,860521975
1797,825705237
1798,797585192
1799,834006872
1800,849726757
1801,788679758
1802,847104946
1803,865051333
1804,868562361
1805,897944797
1806,888036556
1807,806235523
1808,855571684
1809,850169257
1810,818822193
1811,963805269
1812,884954485
1813,948583402
1814,849243690
1815,900963121
1816,883133660
1817,845148237
1818,905636072
1819,833056410
1820,870514857
1821,898055946
1822,814571171
1823,871208032
1824,877831652
1825,800887580
1826,902027963
1827,875379422
1828,838691338
1829,789412990
1830,829621269
1831,815544033
1832,901371769
1833,868826377
1834,911638968
1835,815837470
1836,836804679
1837,810043067
1838,821976301
1839,867171593
1840,834821564
1841,853220919
1842,843730852
1843,832538344
1844,849587027
1845,853782583
1846,862611455
1847,835349114
1848,886397820
1849,760349826
1850,836736453
1851,917352336
1852,832222044
1853,901069796
1854,868756797
1855,863813535
1856,881086281
1857,904218170
1858,819825220
1859,814280346
1860,879709308
1861,833320271
1862,835377034
1863,881289927
1864,831466060
1865,1271136263
1866,812521343
1867,135335719
1868,809492970
1869,658276689
1870,872183818
1871,515425739
1872,825118066
1873,651639319
1874,865656241
1875,130802091
1876,870626898
1877,638333434
1878,789859507
1879,669033002
1880,774317016
1881,695288368
1882,902516878
1883,553700434
1884,891341245
1885,597448127
1886,786596709
1887,518520780
1888,882531593
1889,538253046
1890,793591838
1891,117128708
1892,839033274
1893,1189871118
1894,809490005
1895,150302536
1896,815929333
1897,694305726
1898,889837252
1899,558664680
1900,802323149
1901,849757797
1902,816881061
1903,884951235
1904,800751567
1905,913287484
1906,801373380
1907,753196173
1908,802877278
1909,864106147
1910,828489047
1911,820639039
1912,815498096
1913,453072836
1914,815410953
1915,551668742
1916,893324299
1917,884791792
1918,837416879
1919,813076086
1920,849938486
1921,832116810
1922,817603208
1923,849733107
1924,801122884
1925,819897048
1926,814636783
1927,831069230
1928,803348959
1929,814116822
1930,832818122
1931,849907078
1932,851071552
1933,831888680
1934,462894659
1935,803162158
1936,139616585
1937,775961106
1938,2553433327
1939,837374952
1940,131056162
1941,883251827
1942,134456265
1943,798639155
1944,116266106
1945,765426333
1946,117729232
1947,781606070
1948,848799979
1949,853216433
1950,846795646
1951,915523095
1952,885147097
1953,899641729
1954,865971669
1955,793641556
1956,806803167
1957,866764311
1958,848904983
1959,136261723
1960,882847218
1961,135753130
1962,895988618
1963,547577252
1964,867907515
1965,146015836
1966,870753187
1967,127748022
1968,919336723
1969,868976353
1970,852075307
1971,907615198
1972,852055767
1973,805828575
1974,950797004
1975,833778460
1976,841016008
1977,845346472
1978,881935684
1979,813866986
1980,816027398
1981,817623799
1982,820500097
1983,802185042
1984,843723941
1985,840550500
1986,893001740
1987,784188672
1988,856344182
1989,877891831
1990,885309169
1991,797548290
1992,834728438
1993,864278064
1994,832848272
1995,856980972
1996,861807217
1997,920427308
1998,814605185
1999,894583344
2000,817745539
2001,870381203
2002,846639119
2003,916071602
2004,862067285
2005,873348424
2006,835007490
2007,879750549
2008,782213585
2009,852065181
2010,866653194
2011,852339339
2012,863400166
2013,1010808511
2014,830563185
2015,865041192
2016,829864165
2017,801519533
2018,865027534
2019,866797425
2020,858721901
2021,867908666
2022,855509757
2023,891241358
2024,823648560
2025,814362778
2026,1006974954
2027,833104951
2028,833348802
2029,794585580
2030,866611386
2031,1035629815
2032,847988362
2033,882987877
2034,803232223
2035,882287348
2036,873756930
2037,842033343
2038,824340325
2039,841995887
2040,853598951
2041,823569323
2042,910895432
2043,883327989
2044,878253612
2045,774380472
2046,825263990
2047,817057010
2048,879660001
2049,837126629
2050,883083272
2051,834012508
2052,816551469
2053,903442417
2054,913207356
2055,834880616
2056,838992121
2057,913459322
2058,829979616
2059,883156619
2060,1000194528
2061,1020177325
2062,918745233
2063,809643302
2064,839432555
2065,876307117
2066,901958714
2067,832017286
2068,800524642
2069,925902491
2070,807546871
2071,832059459
2072,800229472
2073,832349399
2074,817553465
2075,860979064
2076,888872013
2077,884359615
2078,835971149
2079,862784202
2080,850823528
2081,920263901
2082,852907113
2083,892490106
2084,818127490
2085,765893351
2086,831920339
2087,870157760
2088,863952187
2089,809572893
2090,836010217
2091,925027711
2092,819020116
2093,826242868
2094,834331557
2095,817929949
2096,799162718
2097,851805858
2098,834286543
2099,879407812
2100,832013307
2101,834411115
2102,834372414
2103,849308181
2104,877058628
2105,839641983
2106,866085919
2107,834108280
2108,816124331
2109,861550130
2110,833934312
2111,809508336
2112,866190479
2113,765599922
2114,864297348
2115,858751933
2116,879093945
2117,856409739
2118,808215760
2119,797721337
2120,782233273
2121,838476144
2122,862352894
2123,835018900
2124,853234404
2125,860477988
2126,786384708
2127,864812145
2128,850295486
2129,783034597
2130,820872898
2131,896291324
2132,799121345
2133,817609817
2134,832146104
2135,817064551
2136,893001777
2137,839702598
