,local_delta
532,95182549
533,89596585
534,94746146
535,108724157
536,102156685
537,101629084
538,95730985
539,121730402
540,95292445
541,82143077
542,118865884
543,89507263
544,92313813
545,125660281
546,101968719
547,110786180
548,86991441
549,110076861
550,99778781
551,99642220
552,101293463
553,82514951
554,109105616
555,120171349
556,102544603
557,110620088
558,109433583
559,120729680
560,101649035
561,111699824
562,102246792
563,108629161
564,97177076
565,96893847
566,112707581
567,92405273
568,103916682
569,93082615
570,97042181
571,118778752
572,92413816
573,97435095
574,116993083
575,97773792
576,105352718
577,109341347
578,99242953
579,106438911
580,151330955
581,103361060
582,99973054
583,97238691
584,92177046
585,83711302
586,98142021
587,92728191
588,107718281
589,99475297
590,93988133
591,114876219
592,111301495
593,85449420
594,96072603
595,106080320
596,96207968
597,109477389
598,117512771
599,120296666
600,111844202
601,110119002
602,104241422
603,86087335
604,149684664
605,138265494
606,106433653
607,84346510
608,115082574
609,80545380
610,87266028
611,91110126
612,112715762
613,97809837
614,90825336
615,126485546
616,102740857
617,106402717
618,104451266
619,218400462
620,89695706
621,87206811
622,102037475
623,87432226
624,100077119
625,102513411
626,108255782
627,92714703
628,110989104
629,111189312
630,89230917
631,89069772
632,88836387
633,119427037
634,106269386
635,93856834
636,105516107
637,85044164
638,111351655
639,109570049
640,104268301
641,111480561
642,96308960
643,100872221
644,97446612
645,121452862
646,84956196
647,86580460
648,90695599
649,89549459
650,97060364
651,84421043
652,105373974
653,120989845
654,98921815
655,94252147
656,99746029
657,88644724
658,111136189
659,101531439
660,97550727
661,97758122
662,83842661
663,97022605
664,105823349
665,111986499
666,107622090
667,90344665
668,92281219
669,108829377
670,97831300
671,95939068
672,114939091
673,109927915
674,103309298
675,110869422
676,98640151
677,106018244
678,98133591
679,102733935
680,94148660
681,90280134
682,94267149
683,102905914
684,91549817
685,103371277
686,116701220
687,106860534
688,83706622
689,116751637
690,100545820
691,104494971
692,99098171
693,104959916
694,94446993
695,130118976
696,123504369
697,92998978
698,201214715
699,99206192
700,94260015
701,89616597
702,96633860
703,101292017
704,124618636
705,84902034
706,97816459
707,98357446
708,89875295
709,92392264
710,116956222
711,145710682
712,95652874
713,117786166
714,143463297
715,88620404
716,90453887
717,101049206
718,88670561
719,104375182
720,139003265
721,91591591
722,107055483
723,108098135
724,139459044
725,97062661
726,85047400
727,91106176
728,83510635
729,97869325
730,98944842
731,105468459
732,97877503
733,116284299
734,100022493
735,143603663
736,97355838
737,111910256
738,94795589
739,86507030
740,95287878
741,78665136
742,95980011
743,104474455
744,89118894
745,101178270
746,97449693
747,106922049
748,104976953
749,93532157
750,95475535
751,82853401
752,99439581
753,102241808
754,92641849
755,80679712
756,97411828
757,97340319
758,96125481
759,101981289
760,85496099
761,101541656
762,99703747
763,97890994
764,92866693
765,89838268
766,90084361
767,86827134
768,122624380
769,101129366
770,81945280
771,90518942
772,190533365
773,99727132
774,104472373
775,130076901
776,110386931
777,114219780
778,102266237
779,105932472
780,103297951
781,95384859
782,102279414
783,96259127
784,103896126
785,96760166
786,80241121
787,115185663
788,112054947
789,106738198
790,87459061
791,92204822
792,90777588
793,95579182
794,94428822
795,100435308
796,89157335
797,101882021
798,79223262
799,85100685
800,100687338
801,93960960
802,89939571
803,138787023
804,109302875
805,114804884
806,109420584
807,105756120
808,94393979
809,98374276
810,89673531
811,94812364
812,74264429
813,95440851
814,130634089
815,110453392
816,127344728
817,113311193
818,111840314
819,94957312
820,84198815
821,78821233
822,95235383
823,95596111
824,81787575
825,97623915
826,93005289
827,98513859
828,82889811
829,100859944
830,91422483
831,100152707
832,107179969
833,101903117
834,116579045
835,94078201
836,102836133
837,96823815
838,87840259
839,94892469
840,114170774
841,113107081
842,96764336
843,89692803
844,95692570
845,102246657
846,112904634
847,99270108
848,83904547
849,98013603
850,115051136
851,106649712
852,100432863
853,85004751
854,93675704
855,94234452
856,97742718
857,94506482
858,110043970
859,112778750
860,101197236
861,119402889
862,94743773
863,93076124
864,100939373
865,100281095
866,90650092
867,88909683
868,99216515
869,91256393
870,85542875
871,106036175
872,84874076
873,112476045
874,92822376
875,90646447
876,84055745
877,83608716
878,99947242
879,104449620
880,94850232
881,107924241
882,115600303
883,92850970
884,113883644
885,117159307
886,104359516
887,102734211
888,105406595
889,104244308
890,105506075
891,114918691
892,109301944
893,108668769
894,101542810
895,116071500
896,100386200
897,112615524
898,98234542
899,103982071
900,109503975
901,107139974
902,105179722
903,85851521
904,97493972
905,116726914
906,111289749
907,98769072
908,99706880
909,101963538
910,111049647
911,90056660
912,98607354
913,117492172
914,102970097
915,103004159
916,96602883
917,111349385
918,99952192
919,82233568
920,100012192
921,95534919
922,97233870
923,90297597
924,99430581
925,98346418
926,132502163
927,104440404
928,98287304
929,102091403
930,94214612
931,93459980
932,101328229
933,89493070
934,112021154
935,101354427
936,126583699
937,84534288
938,94104249
939,103213221
940,110753920
941,94319092
942,89593902
943,81129615
944,93102586
945,103445512
946,91364573
947,108327784
948,104002437
949,108376222
950,98772980
951,94850444
952,92388943
953,97928973
954,88048389
955,97407882
956,107701850
957,99379176
958,98781991
959,107327008
960,113765003
961,96873717
962,89072396
963,96422053
964,117755403
965,150453915
966,118886700
967,86070377
968,102279268
969,105693682
970,84634549
971,89329478
972,85735586
973,103136193
974,94109042
975,116500722
976,88548700
977,105019102
978,95416850
979,99836676
980,95042580
981,105766286
982,107247113
983,89723071
984,102753851
985,98365952
986,125025688
987,89745883
988,113334589
989,110301164
990,95532578
991,98528452
992,124612355
993,103189266
994,85928399
995,92618529
996,106597429
997,113629172
998,106885762
999,95011591
1000,101335368
1001,97764028
1002,98915117
1003,106717742
1004,96018254
1005,91823011
1006,98649025
1007,88528857
1008,89366042
1009,95915911
1010,98238246
1011,106358316
1012,117236241
1013,81854875
1014,90835151
1015,94428001
1016,92493165
1017,100954954
1018,93625505
1019,110760903
1020,114900261
1021,116786087
1022,95565861
1023,95878569
1024,82102895
1025,110200750
1026,100175530
1027,102080418
1028,90238591
1029,99636522
1030,108979974
1031,101285265
1032,96990388
1033,98252309
1034,146228000
1035,90846454
1036,103784943
1037,106498890
1038,115040314
1039,104905564
1040,83387317
1041,98526527
1042,109677107
1043,104109526
1044,125508865
1045,117285097
1046,144553007
1047,103759214
1048,104940408
1049,107974145
1050,130998270
1051,97679240
1052,102786823
1053,119462693
1054,112698137
1055,137606109
1056,125572564
1057,101229642
1058,144755299
1059,107066910
1060,141223490
1061,161092003
1062,109270703
1063,114425787
1064,110588250
1065,107343992
1066,103247863
1067,123736686
1068,107507273
1069,125623189
1070,115705417
1071,111671631
1072,110751895
1073,85971215
1074,110481115
1075,100756623
1076,84901636
1077,101298705
1078,117113953
1079,105469990
1080,133599616
1081,87874957
1082,107988365
1083,127237610
1084,100411469
1085,106755818
1086,115111409
1087,84147003
1088,95629353
1089,86374546
1090,113310636
1091,97366273
1092,90548176
1093,91374527
1094,113798655
1095,118644625
1096,138941210
1097,113301053
1098,122543672
1099,114186518
1100,107049307
1101,87983811
1102,105199158
1103,94361233
1104,99776472
1105,84934813
1106,85714810
1107,99821316
1108,103950154
1109,129861404
1110,90714894
1111,117439526
1112,108960342
1113,98358926
1114,132389727
1115,117898587
1116,101727038
1117,110331430
1118,126953551
1119,147736280
1120,104177289
1121,110862053
1122,103524166
1123,105700615
1124,96510080
1125,108845395
1126,101624330
1127,142181354
1128,112674182
