,local_delta
2139,122330105
2140,118328863
2141,146539896
2142,222676818
2143,128022904
2144,124442026
2145,136261427
2146,140324544
2147,145542345
2148,140428189
2149,115751783
2150,141395426
2151,146054218
2152,120662813
2153,143975680
2154,163110794
2155,169411249
2156,199265871
2157,118547556
2158,114200690
2159,120741249
2160,141988077
2161,130650445
2162,132750648
2163,146157754
2164,148760092
2165,173312069
2166,110000958
2167,158186529
2168,118438542
2169,168659682
2170,156408199
2171,139138861
2172,109521061
2173,189414010
2174,137316311
2175,149757690
2176,175700861
2177,162642556
2178,152512682
2179,187573750
2180,156977775
2181,138491618
2182,142345151
2183,125118210
2184,146912015
2185,113858495
2186,172637894
2187,120434520
2188,110816782
2189,146509044
2190,117162600
2191,123564044
2192,120958997
2193,131024599
2194,121989724
2195,135264641
2196,146936281
2197,175069915
2198,166681288
2199,131715273
2200,143981755
2201,134308965
2202,133609643
2203,140203430
2204,145250398
2205,144317118
2206,99372064
2207,130993242
2208,145084147
2209,107297098
2210,148721222
2211,124336486
2212,155666414
2213,119338164
2214,110195632
2215,139125462
2216,143284931
2217,95804780
2218,131350896
2219,134783231
2220,134630054
2221,107534543
2222,115080151
2223,127438350
2224,138132597
2225,215841218
2226,132194328
2227,131416465
2228,175831986
2229,144829350
2230,115452127
2231,99904089
2232,124144605
2233,110200940
2234,133876509
2235,119756386
2236,116134571
2237,156495830
2238,163566022
2239,156283019
2240,142904195
2241,185835917
2242,164959247
2243,232981846
2244,133128280
2245,141399197
2246,141281646
2247,134834838
2248,170448347
2249,156390307
2250,110084426
2251,113206398
2252,122709032
2253,133747131
2254,161240919
2255,126460324
2256,141449663
2257,119036957
2258,127522821
2259,122529448
2260,135131970
2261,178663323
2262,137868473
2263,196131874
2264,135967643
2265,141022162
2266,104794019
2267,139327269
2268,135434413
2269,134362489
2270,102915898
2271,115178316
2272,129023750
2273,125512665
2274,143181736
2275,199329308
2276,152515515
2277,142507675
2278,146458394
2279,118796273
2280,143778713
2281,130852650
2282,124490114
2283,223950444
2284,160560650
2285,141856268
2286,133483268
2287,130441035
2288,139270129
2289,142831318
2290,156694512
2291,163793662
2292,170569322
2293,185704857
2294,179043259
2295,181194295
2296,119789862
2297,209708912
2298,119237571
2299,125165682
2300,146146567
2301,151755668
2302,146840888
2303,116824921
2304,202896375
2305,134412533
2306,123291727
2307,113582219
2308,127982652
2309,130437333
2310,136248882
2311,105685884
2312,112785033
2313,114552633
2314,142649959
2315,107240099
2316,119287152
2317,92741644
2318,100811260
2319,90957639
2320,139338768
2321,97284601
2322,111809982
2323,97024654
2324,106216714
2325,99278450
2326,132539304
2327,104019532
2328,114810338
2329,108522593
2330,110621963
2331,107764158
2332,120168710
2333,115797523
2334,123004015
2335,103301877
2336,126367496
2337,113059612
2338,118695379
2339,96565747
2340,113283465
2341,132608053
2342,104744059
2343,121157196
2344,119427720
2345,123484585
2346,110267170
2347,112356748
2348,111059043
2349,113227162
2350,129846703
2351,96432934
2352,101205421
2353,97640847
2354,92773932
2355,95080333
2356,112240028
2357,146030568
2358,103469842
2359,95886372
2360,137242256
2361,114127731
2362,108050976
2363,116490381
2364,111796852
2365,101505107
2366,101627919
2367,117637618
2368,94584655
2369,133953356
2370,134041117
2371,104909785
2372,103410153
2373,111671955
2374,115088352
2375,109609720
2376,117442877
2377,102332915
2378,114151375
2379,117218397
2380,112627108
2381,104823638
2382,113857937
2383,114474289
2384,108909200
2385,105730823
2386,96538606
2387,105472594
2388,89755863
2389,109106178
2390,107012797
2391,106303528
2392,94937516
2393,107296234
2394,118545997
2395,90898516
2396,91410337
2397,90219142
2398,113564498
2399,129882372
2400,109271228
2401,89360082
2402,164252023
2403,117423758
2404,98375266
2405,101276092
2406,95921471
2407,95811210
2408,79251149
2409,88413677
2410,100988280
2411,90670545
2412,88632635
2413,94235640
2414,106047692
2415,115318242
2416,100536248
2417,108936018
2418,121379788
2419,103849156
2420,89814036
2421,118870003
2422,113580954
2423,121315308
2424,105169829
2425,91775698
2426,104967278
2427,87225814
2428,127274459
2429,112423404
2430,121328953
2431,101408380
2432,114443919
2433,107289042
2434,119324114
2435,119344583
2436,126703105
2437,102979781
2438,116245475
2439,95840112
2440,116548912
2441,96856464
2442,88302215
2443,112528870
2444,106282115
2445,127472631
2446,111518247
2447,114694905
2448,103488841
2449,125100554
2450,105396388
2451,113059180
2452,115283079
2453,101979157
2454,90816165
2455,95164956
2456,128986429
2457,124218940
2458,120207441
2459,129115125
2460,115713338
2461,97074377
2462,96575784
2463,112241523
2464,103435297
2465,129870800
2466,107378099
2467,119459109
2468,156341093
2469,88628878
2470,116749219
2471,101992436
2472,112843188
2473,113265843
2474,95669275
2475,93763967
2476,134073131
2477,98474996
2478,102195351
2479,96275888
2480,111149962
2481,114645421
2482,116568593
2483,109109655
2484,126891429
2485,127126012
2486,99130410
2487,107420232
2488,117490621
2489,115986354
2490,103842585
2491,114895888
2492,92889073
2493,109690016
2494,104502426
2495,112865788
2496,103237325
2497,105352216
2498,102977898
2499,103950708
2500,92932873
2501,112585476
2502,92457770
2503,95726563
2504,100641810
2505,99043429
2506,104529664
2507,121943783
2508,118499054
2509,99400823
2510,103140761
2511,89091216
2512,103217063
2513,99597645
2514,93591724
2515,83772012
2516,114347448
2517,94714741
2518,100218789
2519,85114195
2520,108170747
2521,118306188
2522,120470036
2523,122975497
2524,119416444
2525,94148441
2526,110583968
2527,101920919
2528,114165990
2529,103417529
2530,104564818
2531,128349388
2532,122669508
2533,98512594
2534,130796777
2535,147102930
2536,106902831
2537,92889432
2538,133298853
2539,122016123
2540,137168582
2541,105209659
2542,101772377
2543,106547832
2544,99592174
2545,87067000
2546,98999207
2547,92905369
2548,103616902
2549,108937043
2550,114357913
2551,114803485
2552,96434473
2553,99440142
2554,104333514
2555,103980858
2556,106260487
2557,86954551
2558,90083032
2559,83355029
2560,92732555
2561,94247552
2562,101118105
2563,110733860
2564,108840896
2565,136800141
2566,105898820
2567,104428147
2568,115481398
2569,113904839
2570,96702908
2571,104876167
2572,103106901
2573,108536261
2574,103852471
2575,104492053
2576,106983869
2577,111471252
2578,90431571
2579,115568584
2580,101501697
2581,112132239
2582,87506735
2583,83186486
2584,90044384
2585,109983963
2586,107083242
2587,86173770
2588,89432406
2589,100724719
2590,117191495
2591,91876618
2592,106480691
2593,104163927
2594,113083016
2595,106768607
2596,119349978
2597,115125771
2598,112717183
2599,110364846
2600,127620319
2601,124935379
2602,92065939
2603,86000696
2604,94761504
2605,145927298
2606,126548706
2607,104844705
2608,87475691
2609,95712855
2610,90801516
2611,97555142
2612,86016320
2613,94823014
2614,81145293
2615,89258498
2616,91114691
2617,98457796
2618,133956289
2619,100728830
2620,102466638
2621,102296534
2622,85523508
2623,114959466
2624,109776617
2625,100203518
2626,98393524
2627,119416016
2628,97876338
2629,110820103
2630,106487719
2631,116864096
2632,116812638
2633,99538155
2634,97766858
2635,92562341
2636,135240553
2637,100702631
2638,105443450
2639,104021996
2640,102614553
2641,107406882
2642,131489626
2643,99886330
2644,100476954
2645,115564098
2646,121923143
2647,110898538
2648,84889759
2649,89460787
2650,90491617
2651,100899452
2652,101200649
2653,130123639
2654,96135038
2655,193347209
2656,97057588
2657,114837068
2658,116345345
2659,102458041
2660,106970372
2661,106549071
2662,138980124
2663,108492503
2664,96002069
2665,116592531
2666,84058197
2667,93843064
2668,102328458
2669,103171267
2670,98144875
2671,92868640
2672,146593069
2673,103791369
2674,124520789
2675,99372632
2676,89148963
2677,101153304
2678,112498479
2679,99846432
2680,108490626
2681,129125931
2682,99007163
2683,102240591
2684,117047372
2685,112546395
2686,95332069
2687,109553487
2688,103278609
2689,99282006
2690,101505177
2691,115717167
2692,106772140
2693,121813868
2694,132906127
2695,118147159
2696,88238912
2697,114779356
2698,104918239
2699,112083999
2700,95975764
2701,129915041
2702,104564125
2703,115968050
2704,126536665
2705,83902674
2706,115482374
2707,124918389
2708,101938923
2709,88720420
2710,150717011
2711,95659098
2712,104233344
2713,108497238
2714,93964676
2715,117715805
2716,112278321
2717,159393912
2718,103989073
2719,100149969
2720,103249752
2721,100742780
2722,105538547
2723,112223111
2724,94219518
2725,110620980
2726,145629055
2727,130731755
2728,105220579
2729,114603468
2730,100116271
2731,98736951
2732,93300353
2733,125689841
2734,113233055
2735,107973592
2736,91431660
2737,116731795
2738,125190884
2739,119259287
2740,113007586
2741,101468402
2742,110941394
2743,108849786
2744,112740555
2745,96606697
2746,119505431
2747,130723055
2748,112944721
2749,95916750
2750,105144067
2751,90013382
2752,108443327
2753,98638149
2754,100937047
2755,122706827
2756,122862712
2757,105956303
2758,98304451
2759,106893644
2760,129300141
2761,99257782
2762,84111315
2763,92721082
2764,109696239
2765,119692929
2766,95881333
2767,93762693
2768,111736389
2769,98494033
2770,104975524
2771,145404363
2772,172514387
2773,122080891
2774,106617238
2775,131769351
2776,105789428
2777,90190307
2778,102282979
2779,98537158
2780,96146591
2781,120452665
2782,95879196
2783,115674033
2784,91017960
2785,140071670
2786,95332479
2787,114184142
2788,88143854
2789,104095786
2790,101730063
2791,96359246
2792,119038086
2793,99329498
2794,133198043
2795,110951963
2796,116155802
2797,115593303
2798,84369229
2799,113757736
2800,90925355
2801,121273390
2802,99482934
2803,128372223
2804,113256851
2805,101426834
2806,123528279
2807,114124453
2808,87175106
2809,104185211
2810,92130560
2811,93962585
2812,106330413
2813,109960298
2814,105309426
2815,99660329
2816,117812097
2817,117923556
2818,100428086
2819,102724851
2820,116106790
2821,104696667
2822,112479352
2823,106062600
2824,120629015
2825,89822128
2826,94663051
2827,151586058
2828,142759313
2829,100931990
2830,90618010
2831,110003318
2832,137497871
2833,122071562
2834,91258425
2835,134001422
2836,142591917
2837,105715934
2838,101193083
2839,96747940
2840,147106279
2841,100245430
2842,113755493
2843,93378835
2844,105696767
2845,96134869
2846,99186526
2847,104757082
2848,100020586
2849,117721886
2850,108440612
2851,109086236
2852,104660675
2853,125141343
2854,115714705
2855,112981172
2856,92598056
2857,113666013
2858,119913390
2859,113501743
2860,107903270
2861,91428736
2862,109248942
2863,99618138
2864,112469558
2865,89506918
2866,93248418
2867,99074963
2868,114367260
2869,107106865
2870,99884751
2871,101933964
2872,91049466
2873,123513847
2874,114680072
2875,113374190
2876,100642562
2877,107250823
2878,95230234
2879,89487751
2880,84297038
2881,98027204
2882,85732450
2883,105348588
2884,119876462
2885,105848848
2886,106492960
2887,123765095
2888,87269372
2889,119299692
2890,88438014
2891,88967856
2892,85773959
2893,117993290
2894,118744485
2895,101396464
2896,89517021
2897,98751159
2898,102409639
2899,101908025
2900,106179887
2901,114112415
2902,112122629
2903,103150573
2904,111324038
2905,114071477
2906,107143374
2907,98340640
2908,104359632
2909,107681392
2910,101949223
2911,97043299
2912,86352290
2913,107843892
2914,101784430
2915,94613099
2916,85819375
2917,95210492
2918,98857616
2919,89156708
2920,100275737
2921,106811759
2922,110664300
2923,105253534
2924,84249015
2925,95173565
2926,90133372
2927,101561150
2928,98022098
2929,108405139
2930,102048804
2931,90633943
2932,94382577
2933,97951160
2934,93321018
2935,90248944
2936,95103668
2937,97387620
2938,128023360
2939,115496992
2940,114865536
2941,140385875
2942,123958528
2943,105109368
2944,141582485
2945,108723054
2946,120488799
2947,106520925
2948,103177394
2949,103598121
2950,103935673
2951,104936346
2952,122458481
2953,110354768
2954,115883501
2955,93000862
2956,120996974
2957,105814989
2958,97821263
2959,92828831
2960,105344261
2961,106186915
2962,107317641
2963,101819064
2964,103244216
2965,99098708
2966,117908389
2967,98728500
2968,116506830
2969,101704793
2970,94506273
2971,89783996
2972,104756138
2973,92746018
2974,101118649
2975,133002040
2976,97048452
2977,100332192
2978,127450860
2979,110223829
2980,97443972
2981,90957012
2982,110538463
2983,109927996
2984,121392075
2985,112072677
2986,124842377
2987,107648316
2988,119749684
2989,99400476
2990,130874233
2991,99275632
2992,124887898
2993,94189138
2994,91157793
2995,117014224
2996,109054405
2997,132235635
2998,110875389
2999,123373995
3000,108433000
3001,118364845
3002,171299838
3003,120032652
3004,103872754
3005,183121989
3006,102715830
3007,125486281
3008,110742993
3009,123910505
3010,136738642
3011,107955553
3012,107592325
3013,105646498
3014,125192114
3015,110425493
3016,98722196
3017,109308778
3018,113762149
3019,91775446
3020,92428361
3021,87748063
3022,97533397
3023,118465260
3024,105461654
3025,102725100
3026,95272675
3027,106403891
3028,86311036
3029,97140273
3030,111718822
3031,106995712
3032,110508149
3033,104389730
3034,105083374
3035,92457527
3036,91182480
3037,106595088
3038,109628724
3039,95476997
3040,115858705
3041,103442128
3042,100594272
3043,112458299
3044,101468281
3045,107483626
3046,162458508
3047,116066048
3048,109185079
3049,113272671
3050,118798591
3051,105508059
3052,92792265
3053,115444435
3054,113994960
3055,102919004
3056,97613031
3057,130986262
3058,81862923
3059,79821888
3060,153372025
3061,105094622
3062,119240880
3063,103993428
3064,108962996
3065,90112169
3066,85046612
3067,101113906
3068,92154506
3069,106232796
3070,94441687
3071,111336738
3072,110072732
3073,97576989
3074,93813719
3075,101247395
3076,94617363
3077,112054340
3078,98072144
3079,104069886
3080,98257404
3081,94769445
3082,83358179
3083,86350774
3084,102937129
3085,94509082
3086,91029926
3087,95012205
3088,97348083
3089,103939521
3090,108542006
3091,90412376
3092,114537769
3093,105898213
3094,181781467
3095,101954840
3096,109747211
3097,122143110
3098,94628768
3099,97709123
3100,95940171
3101,96450585
3102,95224704
3103,92622941
3104,103886135
3105,98689797
3106,106192430
3107,97805529
3108,100442812
3109,110793717
3110,98730891
3111,98515944
3112,86807959
3113,95471317
3114,130211261
3115,90089095
3116,121390403
3117,111518402
3118,88713682
3119,130853654
3120,130902144
3121,98231360
3122,118591401
3123,119336034
3124,124807267
3125,117214739
3126,124283779
3127,122920033
3128,84904735
3129,84080259
3130,85902701
3131,107561123
3132,112474180
3133,92742471
3134,80745529
3135,107651800
3136,109199451
3137,115870888
3138,110100959
3139,121611287
3140,107310446
3141,93238354
3142,97614123
3143,94128404
3144,107297164
3145,99682032
3146,94505798
3147,102196295
3148,107160915
3149,113982300
3150,109223877
3151,105173577
3152,142884814
3153,103030355
3154,100524738
3155,119789886
3156,102423586
3157,94623558
3158,105813887
3159,104523266
3160,105746127
3161,104195091
3162,122646595
3163,100646248
3164,128904389
3165,84658745
3166,102332649
3167,100440102
3168,94506475
3169,98447087
3170,105008630
3171,96465323
3172,86926029
3173,109963405
3174,105424618
3175,92536325
3176,101599369
3177,90604299
3178,107794506
3179,98057297
3180,94503194
3181,107256331
3182,104230871
3183,100193644
3184,156295707
3185,123360447
3186,98501931
3187,86889102
3188,110834027
3189,91163777
3190,99987968
3191,106890185
3192,84702911
3193,85577857
3194,103870612
3195,118210879
3196,97320892
3197,151645201
3198,96919956
3199,104037954
3200,116791716
3201,94016997
3202,108248358
3203,95369232
3204,101071974
3205,122312950
3206,104937171
3207,97875370
3208,104901910
3209,157712630
3210,88732898
3211,176522570
3212,108924762
3213,120472330
3214,127946161
3215,100999527
3216,114844796
3217,87295455
3218,99137657
3219,137973004
3220,99117448
3221,130003758
3222,96873549
3223,96899800
3224,97722141
3225,98791981
3226,113144957
3227,99158281
3228,84855879
3229,92986478
3230,89135657
3231,153854464
3232,122659041
3233,123194091
3234,93085905
3235,85113274
3236,86924154
3237,85481710
3238,86976810
3239,94328818
3240,101599003
3241,89850082
3242,106669612
3243,92858301
3244,120938942
3245,102326084
3246,104145296
3247,102271344
3248,96025374
3249,118889157
3250,107647630
3251,117891660
3252,96627456
3253,103129675
3254,95507980
3255,105389772
3256,111421263
3257,128430532
3258,117596035
3259,122867112
3260,115739687
3261,99200312
3262,97413286
3263,103258996
3264,95780426
3265,102116136
3266,119291082
3267,117959576
3268,105775238
3269,92205906
3270,100441454
3271,113119643
3272,97864274
3273,95232668
3274,98254221
3275,106922631
3276,151823999
3277,99938538
3278,106149769
3279,92829758
3280,142676788
3281,87532432
3282,92006427
3283,107525597
3284,121416751
3285,99630934
3286,119662694
3287,100639316
3288,103467745
3289,102649363
3290,106410601
3291,87651337
3292,99275102
3293,83994994
3294,92474395
3295,106732735
3296,108386636
3297,107035442
3298,89314195
3299,105977685
3300,119106706
3301,80418755
3302,89453102
3303,91760490
3304,105222270
3305,93893243
3306,106172788
3307,95500218
3308,98035939
3309,83665203
3310,85665197
3311,111968759
3312,86920297
3313,88370761
3314,80515994
3315,80117245
3316,107888407
3317,104134721
3318,98680989
3319,113971305
3320,125219238
3321,101080668
3322,122006696
3323,94082773
3324,97362764
3325,92762205
3326,83245048
3327,94256836
3328,87685763
3329,95235687
3330,100339316
3331,95493810
3332,94728188
3333,95638186
3334,111358291
3335,100842492
3336,92156529
3337,112193810
3338,86884672
3339,103085140
3340,122240444
3341,98660207
3342,103530139
3343,90352993
3344,96069277
3345,96439172
3346,94712875
3347,95267457
3348,90879189
3349,94684542
3350,104734874
3351,89974504
3352,79554747
3353,105745652
3354,95197613
3355,100867386
3356,86129673
3357,100488846
3358,97155627
3359,97764531
3360,93337359
3361,99570619
3362,85504727
3363,80673336
3364,86181131
3365,96659848
3366,79170424
3367,81086928
3368,90628304
3369,99260828
3370,96226567
3371,114774112
3372,87372794
3373,98373331
3374,106497732
3375,93348504
3376,105426173
3377,98844475
3378,99179371
3379,94882509
3380,101804362
3381,129862501
3382,89290756
3383,116112494
3384,84258689
3385,96309224
3386,91569603
3387,104451489
3388,79853443
3389,92817880
3390,93448972
3391,96382765
3392,89719088
3393,117002491
3394,86871493
3395,106558201
3396,99839316
3397,107590749
3398,99387911
3399,85998839
3400,109718191
3401,97100731
3402,85058061
3403,109507045
3404,107928821
3405,92871056
3406,138991846
3407,102935035
3408,93545481
3409,91508248
3410,87847323
3411,91896477
3412,84459104
3413,86725763
3414,98790204
3415,95648965
3416,93718658
3417,89855389
3418,92008246
3419,94787716
3420,72949036
3421,98237549
3422,82789161
3423,86412847
3424,90908875
3425,81586405
3426,81415677
3427,95368287
3428,86413472
3429,89684817
3430,91485175
3431,94990372
3432,101727642
3433,96202347
3434,91425384
3435,86606649
3436,86535660
3437,92017048
3438,92431578
3439,100649989
3440,97721873
3441,84141500
3442,90642053
3443,96268701
3444,94635269
3445,82021611
3446,106829604
3447,97746561
3448,86988939
3449,90714969
3450,81373541
3451,93853500
3452,97644634
3453,126784905
3454,86703628
3455,83553846
3456,86831909
3457,90973613
3458,102063265
3459,146844788
3460,98501662
3461,121877420
3462,98414580
3463,87251959
3464,128393910
3465,117971495
3466,102745607
3467,115657232
3468,100891915
3469,106235179
3470,106030961
3471,97494842
3472,120730237
3473,103375136
3474,116488167
3475,88309038
3476,114456142
3477,99018327
3478,93552824
3479,111662921
3480,101452902
3481,96769115
3482,91020800
3483,93852926
3484,112432971
3485,101417954
3486,108464182
3487,98527703
3488,107806528
3489,143083914
3490,105149141
3491,116192021
3492,128346357
3493,92698816
3494,100160667
3495,94807663
3496,108623972
3497,98590776
3498,95181672
3499,93905947
3500,112456408
3501,99783272
3502,90783718
3503,100100459
3504,88295913
3505,105313879
3506,108722097
3507,96895260
3508,99495147
3509,102473003
3510,115188586
3511,104321486
3512,104990338
3513,110615424
3514,108115068
3515,101177433
3516,113597497
3517,107597152
3518,104276382
3519,98032704
3520,100287437
3521,84248218
3522,95357817
3523,100733321
3524,102224409
3525,103159354
3526,97578278
3527,91846890
3528,108867305
3529,85605401
3530,90765540
3531,103759196
3532,106359344
3533,95167817
3534,102751387
3535,133329360
3536,104061174
3537,131184315
3538,98003121
3539,119704248
3540,127373442
3541,118197118
3542,112289011
3543,129686455
3544,92719023
3545,109837092
3546,106233302
3547,90830644
3548,103825445
3549,89406430
3550,93323135
3551,151302219
3552,143562348
3553,98969628
3554,106175646
3555,98167703
3556,107554235
3557,100724257
3558,99021658
3559,112802344
3560,91080538
3561,102875553
3562,113520414
3563,131106347
3564,104307683
3565,115651813
3566,93261208
3567,90861373
3568,112483177
3569,103378884
3570,113901142
3571,104969400
3572,129201092
3573,94383184
3574,109912717
3575,86749824
3576,101693889
3577,124928814
3578,117929566
3579,104108569
3580,110837505
3581,96821353
3582,89027055
3583,92413295
3584,107745796
3585,93767248
3586,114128849
3587,88648827
3588,118482637
3589,105963458
3590,103786695
3591,107066216
3592,90267624
3593,116121499
3594,117282848
3595,123777359
3596,124751991
3597,153114399
3598,96490833
3599,124575430
3600,96365834
3601,147709156
3602,93328447
3603,117285141
3604,112339114
3605,137138253
3606,111545940
3607,123148663
3608,99969519
3609,87829975
3610,133060141
3611,107440381
3612,109821363
3613,104652525
3614,92031472
3615,149564358
3616,115704155
3617,114570566
3618,125111156
3619,101716649
3620,109727404
3621,102465709
3622,87529872
3623,92277565
3624,103253258
3625,101184307
3626,92433971
3627,103809872
3628,97331559
3629,120078620
3630,118991697
3631,112969946
3632,137487574
3633,108156940
3634,114075254
3635,128704061
3636,92774699
3637,104639921
3638,106862101
3639,111049536
3640,107874441
3641,91344703
3642,95210889
3643,85498212
3644,85264880
3645,106796944
3646,104447473
3647,112256198
3648,131435719
3649,111258597
3650,86537375
3651,87009874
3652,103088623
3653,105494449
3654,103694090
3655,103541903
3656,116710298
3657,90961892
3658,96333489
3659,103865652
3660,116845818
3661,96734477
3662,91747097
3663,91760483
3664,115181813
3665,103061175
3666,94005527
3667,106321269
3668,115428947
3669,102866123
3670,104744295
3671,159841720
3672,113726505
3673,114877543
3674,121682417
3675,115218844
3676,100402017
3677,134725864
3678,97648485
3679,91795899
3680,107431265
3681,100102800
3682,117693107
3683,96499426
3684,134685916
3685,106624705
3686,93981829
3687,121309605
3688,114081400
3689,109540164
3690,125951881
3691,95883282
3692,94915837
3693,106407882
3694,95862240
3695,115373687
3696,132440975
3697,112631195
3698,98319628
3699,108174336
3700,101573055
3701,118913311
3702,115406968
3703,122955538
3704,102677061
3705,98389836
3706,113081975
3707,113285152
3708,123728035
3709,111270887
3710,93687768
3711,125260374
3712,92195376
3713,98884730
3714,110267818
3715,95558179
3716,100936442
3717,99540145
3718,98640876
3719,88721794
3720,111577657
3721,101450816
3722,120573461
3723,103592527
3724,105185126
3725,97064475
3726,126398546
3727,106484340
3728,86343677
3729,92415011
3730,111744324
3731,105997363
3732,126944795
3733,93711153
3734,123132776
3735,103899610
3736,106916006
3737,103153935
3738,114470252
3739,114096763
3740,110976410
3741,91095640
3742,104389087
3743,100397901
3744,95795573
3745,105913874
3746,125257352
3747,114190253
3748,104107994
3749,116561547
3750,97213641
3751,106841527
3752,171173036
3753,137067313
3754,120483305
3755,90686007
3756,100471599
3757,100802276
3758,107489233
3759,95993645
3760,94173547
3761,113441922
3762,95044742
3763,131502540
3764,100190923
3765,104000390
3766,107885273
3767,99645040
3768,98754730
3769,95968489
3770,95933958
3771,90837933
3772,111286668
3773,102505238
3774,95422657
3775,126413182
3776,112199374
3777,116180402
3778,99121969
3779,102754873
3780,103997317
3781,94020630
3782,101003785
3783,93049853
3784,99842018
3785,91769024
3786,104885856
3787,124506573
3788,106663454
3789,107790586
3790,95273905
3791,98366576
3792,93507739
3793,144992086
3794,114286779
3795,122010293
3796,106720972
3797,103245100
3798,89848481
3799,111751527
3800,107580970
3801,124773460
3802,113598136
3803,117474632
3804,115411307
3805,97283298
3806,92619721
3807,98273451
3808,124021015
3809,102051094
3810,107332898
3811,100009435
3812,100534641
3813,124406171
3814,102760779
3815,118642649
3816,95073827
3817,88101508
3818,103996712
3819,113455168
3820,111885903
3821,109797681
3822,101707293
3823,88661819
3824,90581136
3825,132852182
3826,101177764
3827,101356566
3828,89047391
3829,96589655
3830,101551878
3831,107214149
3832,113955948
3833,103997077
3834,121986857
3835,133642024
3836,106259673
3837,110810855
3838,113078503
3839,94840287
3840,95043828
3841,97393143
3842,98131629
3843,118401193
3844,111839758
3845,87161981
3846,114342197
3847,101808544
3848,88808381
3849,99918811
3850,138564767
3851,96909186
3852,105510770
3853,124082840
3854,105594416
3855,114115844
3856,112060591
3857,100319487
3858,103624475
3859,108172636
3860,107982740
3861,101458493
3862,155562832
3863,129567508
3864,109354663
3865,93351074
3866,90956083
3867,92053579
3868,121166340
3869,90052024
3870,130910940
3871,97820069
3872,106278268
3873,101260318
3874,104803586
3875,91656445
3876,138266592
3877,114723603
3878,118906973
3879,92070975
3880,122227535
3881,93422428
3882,127990379
3883,103939318
3884,103790256
3885,90377023
3886,117438020
3887,93225086
3888,115124644
3889,110518045
3890,112071685
3891,135739466
3892,106190925
3893,94911955
3894,112337466
3895,119215254
3896,111235804
3897,107217953
3898,104777701
3899,109426383
3900,119442701
3901,118104269
3902,95843827
3903,121305143
3904,97727727
3905,114390220
3906,90140045
3907,109398570
3908,100650425
3909,108694511
3910,111699812
3911,103787757
3912,106623008
3913,136528109
3914,111089345
3915,108097377
3916,92856389
3917,147784632
3918,106943319
3919,98247152
3920,113196109
3921,102659949
3922,103855257
3923,101893076
3924,103289999
3925,78547847
3926,104048538
3927,111174971
3928,103000625
3929,96788251
3930,85075272
3931,93168628
3932,102977083
3933,96976324
3934,101082403
3935,117869114
3936,96818564
3937,124394456
3938,101038236
3939,100042823
3940,91477436
3941,83078820
3942,84659023
3943,117884530
3944,132003596
3945,121106759
3946,112076427
3947,95252788
3948,106404936
3949,104330568
3950,98792255
3951,95000185
3952,96843615
3953,100477718
3954,88133021
3955,105031139
3956,85792978
3957,98144653
3958,112555279
3959,102658751
3960,115433081
3961,119515046
3962,104777078
3963,102667085
3964,99837199
3965,111509398
3966,99620898
3967,110205444
3968,103649582
3969,98230278
3970,90786398
3971,97277000
3972,94107167
3973,97087887
3974,74248123
3975,133636663
3976,105756189
3977,102524326
3978,100538655
3979,118467342
3980,101913077
3981,108225139
3982,97614864
3983,118397759
3984,102397868
3985,92586496
3986,100631520
3987,101058758
3988,96233671
3989,111993303
3990,105653793
3991,104400621
3992,106571290
3993,108362639
3994,84460692
3995,119874525
3996,90733690
3997,87572139
3998,102066515
3999,105096505
4000,118083803
4001,100346990
4002,91205616
4003,82972989
4004,114061681
4005,103690103
4006,107824881
4007,88401824
4008,110252112
4009,105626138
4010,109076647
4011,104027082
4012,112945904
4013,94151647
4014,82274970
4015,120564054
4016,129809855
4017,143181267
4018,117714689
4019,103981300
4020,105979836
4021,96623514
4022,118062605
4023,129551158
4024,102567035
4025,101552664
4026,113300278
4027,93579775
4028,113779808
4029,123527430
4030,92171811
4031,98351997
4032,114544597
4033,148977080
4034,100197408
4035,106216761
4036,128760224
4037,111165025
4038,115776832
4039,117922502
4040,172628143
4041,107685507
4042,101672663
4043,94088315
4044,94723365
4045,118026929
4046,95309926
4047,102339640
4048,118634739
4049,103067398
4050,106381709
4051,92688476
4052,101082717
4053,123864044
4054,113821527
4055,88115524
4056,98702048
4057,88201408
4058,97638980
4059,98372102
4060,113614236
4061,99238245
4062,108856179
4063,88142555
4064,102921097
4065,87573390
4066,79682064
4067,87298965
4068,109592427
4069,106898114
4070,111891846
4071,100665636
4072,88214534
4073,93926024
4074,105422651
4075,87172611
4076,90130204
4077,108834722
4078,101464383
4079,89695935
4080,93033997
4081,94009774
4082,103954374
4083,99402047
4084,86665633
4085,110478362
4086,115812146
4087,102591462
4088,99278506
4089,108273214
4090,100201472
4091,120413483
4092,137274310
4093,104236249
4094,89612655
4095,85732564
4096,102881097
4097,86470061
4098,132227505
4099,104757341
4100,97671897
4101,114780171
4102,98458561
4103,110169770
4104,106698115
4105,94022639
4106,105800723
4107,113827362
4108,106347856
4109,114304079
4110,89513072
4111,91025983
4112,101310062
4113,89189792
4114,133924271
4115,101178344
4116,112148252
4117,119557342
4118,96592266
4119,87073706
4120,90991452
4121,106118222
4122,94040139
4123,103110420
4124,102316620
4125,112654658
4126,107972122
4127,103101202
4128,112070284
4129,91112754
4130,107334156
4131,93655766
4132,97103722
4133,89753488
4134,108035715
4135,102646932
4136,91472804
4137,143490019
