,cloud_delta
531,388368213
532,396191471
533,391326693
534,377088610
535,377612045
536,394666421
537,395556054
538,419564626
539,418436139
540,398913333
541,381892759
542,482944590
543,390569347
544,384523427
545,380253127
546,398797759
547,379338129
548,394447875
549,470403636
550,409181216
551,427319911
552,435591656
553,382728065
554,396103492
555,439186746
556,397831350
557,394097507
558,402975606
559,465677864
560,440158513
561,420853832
562,478353865
563,395727917
564,399412801
565,393843027
566,385059719
567,387275025
568,426147563
569,606907483
570,371540538
571,378220831
572,375676774
573,377749945
574,456836214
575,384933829
576,394874788
577,367803100
578,377230987
579,389534491
580,431840352
581,391819067
582,654151080
583,403061220
584,410481093
585,425293754
586,423782977
587,406687300
588,414927482
589,402292312
590,501438259
591,405271157
592,560984639
593,401989344
594,399060238
595,429994414
596,408286302
597,400353514
598,434134504
599,443053903
600,413237588
601,386316159
602,379498472
603,396799089
604,413674557
605,410841805
606,394729042
607,489859581
608,407255409
609,393732221
610,400491523
611,413562367
612,427008993
613,422480256
614,401638706
615,422599110
616,421740831
617,409351911
618,434461571
619,419657034
620,458750090
621,436338545
622,442274462
623,430744861
624,491264673
625,1661696925
626,383365424
627,384030056
628,629352547
629,424151006
630,408916887
631,392729073
632,401120453
633,396870154
634,411641253
635,416250301
636,575267924
637,543721201
638,513522076
639,541281989
640,413172653
641,419914299
642,396407706
643,445960674
644,401174774
645,519271276
646,389365384
647,490574960
648,401818417
649,538595484
650,394917553
651,387181953
652,392390374
653,422833715
654,389667361
655,395124218
656,387535336
657,414212908
658,562663896
659,465775297
660,425879537
661,396708119
662,587232255
663,388650331
664,422294288
665,403642576
666,392744433
667,466985395
668,385750340
669,417710135
670,433118732
671,605307352
672,465829564
673,392331829
674,418768203
675,400725291
676,486025281
677,411889527
678,402448828
679,436147783
680,449241960
681,447908631
682,395973639
683,463371133
684,417724768
685,595423995
686,410098281
687,383727532
688,392469691
689,473862192
690,382381702
691,400379926
692,462496186
693,566518044
694,432281022
695,427618849
696,395327285
697,386871895
698,446936860
699,507248647
700,409294480
701,410333226
702,393122240
703,406775320
704,402260699
705,414994617
706,602276260
707,397106809
708,399018782
709,505992035
710,395528116
711,410966035
712,395358272
713,427084994
714,421107513
715,399097843
716,405877509
717,474399322
718,408380365
719,402996059
720,404756626
721,418577103
722,503597926
723,428163635
724,392522602
725,445834203
726,422670319
727,405787976
728,540269318
729,424609270
730,512367219
731,415922474
732,513973515
733,402499132
734,409875462
735,428356132
736,416728669
737,427459727
738,405732505
739,447094664
740,401933923
741,390432241
742,386378399
743,484872250
744,432616428
745,403082669
746,481817000
747,436278447
748,441889158
749,465928352
750,395969044
751,414124924
752,409366241
753,511082061
754,435302512
755,448046898
756,399006065
757,540320925
758,410953319
759,449475799
760,391293433
761,399374241
762,393990091
763,392880095
764,390146353
765,401863920
766,448682624
767,409977071
768,403659174
769,419973914
770,513864081
771,429192634
772,392993322
773,423526870
774,401027984
775,412117531
776,407172392
777,416887620
778,408147440
779,414944032
780,478653775
781,531631730
782,411173419
783,444856957
784,412702216
785,440226815
786,410183786
787,427155763
788,537822022
789,396517476
790,395885030
791,419182611
792,434807457
793,451689694
794,593159083
795,422495256
796,415130540
797,616384789
798,392032333
799,399823246
800,413569295
801,389034738
802,399242570
803,424863216
804,395121280
805,420608178
806,420311356
807,562074597
808,528636163
809,425278007
810,427541384
811,388934582
812,408319727
813,402560318
814,413360075
815,419803856
816,388992445
817,409823159
818,400132409
819,402248079
820,399557931
821,419472190
822,548902815
823,396095650
824,446085646
825,475487998
826,523739770
827,453522861
828,525824763
829,417506310
830,390072127
831,535869104
832,410750654
833,399453971
834,393388782
835,405058068
836,519846499
837,406498427
838,414596838
839,533917599
840,407098113
841,403010469
842,420609110
843,541224345
844,746188057
845,579855052
846,488023942
847,464085218
848,488248421
849,447394751
850,457701176
851,409022843
852,414603659
853,462096265
854,565533743
855,415767404
856,426905961
857,431841727
858,1392819708
859,557517934
860,370055155
861,502797643
862,424372166
863,409270028
864,397909648
865,422112538
866,438787327
867,397764282
868,443167781
869,422440400
870,864229330
871,597269519
872,576600731
873,483837387
874,479679379
875,496770104
876,693006446
877,538652520
878,463399275
879,429882978
880,585488565
881,431443024
882,440606484
883,413380270
884,448433802
885,413007875
886,529309163
887,399772501
